seed1,seed2,seed3,seed4,seed5
MED12L,METTL8,MGRN1,MFN1,MGRN1
MFI2,MFI2,MICALL1,MFSD1,MICALL1
MFN1,MFN1,MIR1224,MGRN1,MIR1224
MFSD1,MFSD1,MIR1226,MICALL1,MIR1226
MGRN1,MGRN1,MIR1263,MIR1224,MIR1263
MICALL1,MICALL1,MIR15B,MIR1226,MIR15B
MIR1224,MIR1224,MIR191,MIR1263,MIR191
MIR1226,MIR1226,MIR2115,MIR15B,MIR2115
MIR1263,MIR1263,MIR28,MIR191,MIR28
MIR15B,MIR15B,MIR3137,MIR2115,MIR3137
MIR191,MIR191,MIR3919,MIR28,MIR3919
MIR2115,MIR2115,MIR425,MIR3137,MIR425
MIR28,MIR28,MIR4271,MIR3919,MIR4271
MIR3137,MIR3137,MIR4443,MIR425,MIR4443
MIR3919,MIR3919,MIR4448,MIR4271,MIR4448
MIR425,MIR425,MIR4787,MIR4443,MIR4787
MIR4271,MIR4271,MIR4789,MIR4448,MIR4789
MIR4443,MIR4443,MIR4793,MIR4787,MIR4793
MIR4448,MIR4448,MIR4797,MIR4789,MIR4797
MIR4787,MIR4787,MIR5186,MIR4793,MIR5186
MIR4789,MIR4789,MIR548AQ,MIR4797,MIR548AQ
MIR4793,MIR4793,MIR551B,MIR5186,MIR551B
MIR4797,MIR4797,MIR564,MIR548AQ,MIR564
MIR5186,MIR5186,MIR566,MIR551B,MIR566
MIR548AQ,MIR548AQ,MIR569,MIR564,MIR569
MIR551B,MIR551B,MIR570,MIR566,MIR570
MIR564,MIR564,MIR711,MIR569,MIR711
MIR566,MIR566,MIR720,MIR570,MIR720
MIR569,MIR569,MIR922,MIR720,MIR922
MIR570,MIR570,MIR944,MIR922,MIR944
MIR720,MIR711,MLF1,MIR944,MLF1
MIR922,MIR720,MLPH,MLF1,MLPH
MIR944,MIR922,MME,MLPH,MME
MLF1,MIR944,MMP15,MME,MMP15
MLPH,MLF1,MMP24,MMP15,MMP24
MME,MLPH,MRAP2,MMP24,MRAP2
MMP15,MME,MRPL47,MRAP2,MRPL47
MMP24,MMP15,MRPS22,MRPL47,MRPS22
MRAP2,MMP24,MST1,MRPS22,MST1
MRPL47,MRAP2,MUC1,MST1,MUC1
MRPS22,MRPL47,MUC20,MUC1,MUC20
MST1,MRPS22,MUC21,MUC20,MUC21
MUC1,MST1,MUC4,MUC21,MUC4
MUC20,MUC1,MUSTN1,MUC4,MUSTN1
MUC21,MUC20,MYNN,MUSTN1,MYNN
MUC4,MUC21,NAA50,MYNN,NAA50
MUSTN1,MUC4,NAALADL2,NAA50,NAALADL2
MYNN,MUSTN1,NAT6,NAALADL2,NAT6
NAA50,MYNN,NCBP2,NAT6,NCBP2
NAALADL2,NAA50,NCEH1,NCBP2,NCEH1
NAT6,NAALADL2,NCKIPSD,NCEH1,NCKIPSD
NCBP2,NAT6,NDUFA4L2,NCKIPSD,NDUFA4L2
NCEH1,NCBP2,NDUFAF3,NDUFA4L2,NDUFAF3
NCKIPSD,NCEH1,NDUFB5,NDUFAF3,NDUFB5
NDUFA4L2,NCKIPSD,NEK6,NDUFB5,NEK6
NDUFAF3,NDUFA4L2,NFE2L2,NEK6,NFE2L2
NDUFB5,NDUFAF3,NGFR,NFE2L2,NGFR
NEK6,NDUFB5,NIPAL4,NGFR,NIPAL4
NFE2L2,NEK6,NKAIN2,NIPAL4,NKAIN2
NGFR,NFE2L2,NKTR,NKAIN2,NKTR
NIPAL4,NGFR,NKX2-1,NKTR,NKX2-1
NKAIN2,NICN1,NLGN1,NKX2-1,NLGN1
NKTR,NIPAL4,NMD3,NLGN1,NMD3
NKX2-1,NKAIN2,NME6,NMD3,NME6
NLGN1,NKTR,NMNAT3,NME6,NMNAT3
NMD3,NKX2-1,NOSTRIN,NMNAT3,NOSTRIN
NME6,NLGN1,NPRL2,NOSTRIN,NPRL2
NMNAT3,NMD3,NRARP,NPRL2,NRARP
NOSTRIN,NME6,NRROS,NRARP,NRROS
NPRL2,NMNAT3,NTRK2,NRROS,NTRK2
NRARP,NOSTRIN,NUDT11,NTRK2,NUDT11
NRROS,NPRL2,NXPH4,NUDT11,NXPH4
NTRK2,NRARP,OCLN,NXPH4,OCLN
NUDT11,NRROS,ODZ2,OCLN,ODZ2
NXPH4,NTRK2,OPA1,ODZ2,OPA1
OCLN,NUDT11,OSTN,OPA1,OSTN
ODZ2,NXPH4,OTOL1,OSTN,OTOL1
OPA1,OCLN,OXGR1,OTOL1,OXGR1
OSTN,ODZ2,P2RY1,OXGR1,P2RY1
OTOL1,OPA1,P2RY12,P2RY1,P2RY12
OXGR1,OSTN,P2RY13,P2RY12,P2RY13
P2RY1,OTOL1,P2RY14,P2RY13,P2RY14
P2RY12,OXGR1,P4HTM,P2RY14,P4HTM
P2RY13,P2RY1,PADI3,P4HTM,PADI3
P2RY14,P2RY12,PAK2,PADI3,PAK2
P4HTM,P2RY13,PAK7,PAK2,PAK7
PADI3,P2RY14,PAPL,PAK7,PAPL
PAK2,P4HTM,PARD6G,PAPL,PARD6G
PAK7,PADI3,PARL,PARD6G,PARL
PAPL,PAK2,PARP3,PARL,PARP3
PARD6G,PAK7,PCBP4,PARP3,PCBP4
PARL,PAPL,PCDH19,PCBP4,PCDH19
PARP3,PARD6G,PCYT1A,PCDH19,PCYT1A
PCBP4,PARL,PDCD10,PCYT1A,PDCD10
PCDH19,PARP3,PERP,PDCD10,PERP
PCYT1A,PCBP4,PEX5L,PERP,PEX5L
PDCD10,PCDH19,PFKFB4,PEX5L,PFKFB4
PERP,PCYT1A,PFN2,PFKFB4,PFN2
PEX5L,PDCD10,PGAP1,PFN2,PGAP1
PFKFB4,PERP,PGM2,PGAP1,PGM2
PFN2,PEX5L,PHC3,PGM2,PHC3
PGAP1,PFKFB4,PHLDB2,PHC3,PHLDB2
PGM2,PFN2,PI3,PHF5A,PI3
PHC3,PGAP1,PIGX,PHLDB2,PIGX
PHLDB2,PGM2,PIGZ,PI3,PIGZ
PI3,PHC3,PIK3CA,PIGX,PIK3CA
PIGX,PHF5A,PITPNB,PIGZ,PITPNB
PIGZ,PHLDB2,PKP1,PIK3CA,PKP1
PIK3CA,PI3,PLA2R1,PITPNB,PLA2R1
PITPNB,PIGX,PLAC2,PKP1,PLAC2
PKP1,PIGZ,PLCH1,PLA2R1,PLCH1
PLA2R1,PIK3CA,PLCH2,PLAC2,PLCH2
PLAC2,PITPNB,PLD1,PLCH1,PLD1
PLCH1,PKP1,PLEKHA6,PLCH2,PLEKHA6
PLCH2,PLA2R1,PLEKHB1,PLD1,PLEKHB1
PLD1,PLAC2,PLXNB1,PLEKHA6,PLXNB1
PLEKHA6,PLCH1,PNCK,PLEKHB1,PNCK
PLEKHB1,PLCH2,PNKD,PLXNB1,PNKD
PLXNB1,PLD1,PNMA2,PNCK,PNMA2
PNCK,PLEKHA6,POC1A,PNKD,POC1A
PNKD,PLEKHB1,POLR2H,PNMA2,POLR2H
PNMA2,PLXNB1,PP13439,POC1A,PP13439
POC1A,PNCK,PPM1L,POLR2H,PPM1L
POLR2H,PNKD,PPP1R14D,PP13439,PPP1R14D
PP13439,PNMA2,PPP1R2,PPM1L,PPP1R2
PPM1L,POC1A,PPP1R9A,PPP1R14D,PPP1R9A
PPP1R14D,POLQ,PRDM11,PPP1R2,PRDM11
PPP1R2,POLR2H,PREP,PPP1R9A,PREP
PPP1R9A,PP13439,PRICKLE3,PRDM11,PRICKLE3
PRDM11,PPM1L,PRIMA1,PREP,PRIMA1
PREP,PPP1R14D,PRKAR2A,PRICKLE3,PRKAR2A
PRICKLE3,PPP1R2,PRKCI,PRIMA1,PRKCI
PRIMA1,PPP1R9A,PRNP,PRKAR2A,PRNP
PRKAR2A,PRDM11,PRR15L,PRKCI,PRR15L
PRKCI,PREP,PRTG,PRNP,PRTG
PRNP,PRICKLE3,PSMD2,PRR15L,PSMD2
PRR15L,PRIMA1,PTDSS1,PRTG,PTDSS1
PRTG,PRKAR2A,PTGFRN,PSMD2,PTGFRN
PSMD2,PRKCI,PTHLH,PTDSS1,PTHLH
PTDSS1,PRNP,PTPRS,PTGFRN,PTPRS
PTGFRN,PRR15L,PTPRZ1,PTHLH,PTPRZ1
PTHLH,PSMD2,PTX3,PTPRS,PTX3
PTPRS,PTDSS1,PVRL1,PTPRZ1,PVRL1
PTPRZ1,PTGFRN,PYDC2,PTX3,PYDC2
PTX3,PTHLH,QSOX1,PVRL1,QSOX1
PVRL1,PTPRS,RAB19,PYDC2,RAB17
PYDC2,PTPRZ1,RAD51AP2,QARS,RAB19
QARS,PTX3,RAD54L2,QSOX1,RAD51AP2
QSOX1,PVRL1,RAE1,RAB19,RAD54L2
RAB19,PYDC2,RAET1L,RAD51AP2,RAE1
RAD51AP2,QSOX1,RANBP1,RAD54L2,RAET1L
RAD54L2,RAB19,RAP2B,RAE1,RANBP1
RAE1,RAD51AP2,RAPGEF2,RAET1L,RAP2B
RAET1L,RAD54L2,RAPGEFL1,RAG1,RAPGEF2
RAG1,RAE1,RAPH1,RANBP1,RAPGEFL1
RANBP1,RAET1L,RARG,RAP2B,RAPH1
RAP2B,RAG1,RARRES1,RAPGEF2,RARG
RAPGEF2,RANBP1,RASSF1,RAPGEFL1,RARRES1
RAPGEFL1,RAP2B,RBM15B,RAPH1,RASSF1
RAPH1,RAPGEF2,RBM47,RARG,RBM15B
RARG,RAPGEFL1,RBM5,RARRES1,RBM47
RARRES1,RAPH1,RBP1,RASSF1,RBM5
RASSF1,RARG,REPS1,RBM15B,RBP1
RBM15B,RARRES1,RFC4,RBM47,REPS1
RBM47,RASSF1,RGL3,RBM5,RFC4
RBM5,RBM15B,RGMA,RBP1,RGL3
RBP1,RBM47,RHCG,REPS1,RGMA
REPS1,RBM5,RHOU,RFC4,RHCG
RFC4,RBP1,RN7SKP177,RGL3,RHOU
RGL3,REPS1,RN7SKP222,RGMA,RN7SKP177
RGMA,RFC4,RN7SKP234,RHCG,RN7SKP222
RHCG,RGL3,RN7SKP265,RHOU,RN7SKP234
RHOU,RGMA,RN7SKP296,RN7SKP177,RN7SKP265
RN7SKP177,RHCG,RN7SKP298,RN7SKP222,RN7SKP296
RN7SKP222,RHOF,RN7SKP40,RN7SKP234,RN7SKP298
RN7SKP234,RHOU,RN7SKP46,RN7SKP265,RN7SKP40
RN7SKP265,RN7SKP177,RN7SKP52,RN7SKP296,RN7SKP46
RN7SKP296,RN7SKP222,RN7SL141P,RN7SKP298,RN7SKP52
RN7SKP298,RN7SKP234,RN7SL215P,RN7SKP40,RN7SL141P
RN7SKP40,RN7SKP265,RN7SL229P,RN7SKP46,RN7SL215P
RN7SKP46,RN7SKP296,RN7SL300P,RN7SKP52,RN7SL229P
RN7SKP52,RN7SKP298,RN7SL321P,RN7SL141P,RN7SL300P
RN7SL141P,RN7SKP40,RN7SL36P,RN7SL182P,RN7SL321P
RN7SL182P,RN7SKP46,RN7SL434P,RN7SL215P,RN7SL36P
RN7SL215P,RN7SKP52,RN7SL447P,RN7SL229P,RN7SL434P
RN7SL229P,RN7SL141P,RN7SL486P,RN7SL300P,RN7SL447P
RN7SL300P,RN7SL215P,RN7SL504P,RN7SL321P,RN7SL486P
RN7SL321P,RN7SL229P,RN7SL517P,RN7SL36P,RN7SL504P
RN7SL36P,RN7SL300P,RN7SL567P,RN7SL434P,RN7SL517P
RN7SL434P,RN7SL321P,RN7SL637P,RN7SL447P,RN7SL567P
RN7SL447P,RN7SL36P,RN7SL703P,RN7SL486P,RN7SL637P
RN7SL486P,RN7SL434P,RN7SL738P,RN7SL504P,RN7SL703P
RN7SL504P,RN7SL447P,RN7SL773P,RN7SL517P,RN7SL738P
RN7SL517P,RN7SL486P,RN7SL821P,RN7SL567P,RN7SL773P
RN7SL567P,RN7SL504P,RNA5SP131,RN7SL637P,RN7SL821P
RN7SL637P,RN7SL517P,RNA5SP132,RN7SL703P,RNA5SP131
RN7SL703P,RN7SL567P,RNA5SP145,RN7SL738P,RNA5SP132
RN7SL738P,RN7SL637P,RNA5SP146,RN7SL773P,RNA5SP145
RN7SL773P,RN7SL703P,RNA5SP147,RN7SL821P,RNA5SP146
RN7SL821P,RN7SL738P,RNA5SP148,RNA5SP131,RNA5SP147
RNA5SP131,RN7SL773P,RNA5SP149,RNA5SP132,RNA5SP148
RNA5SP132,RN7SL821P,RNA5SP150,RNA5SP145,RNA5SP149
RNA5SP145,RNA5SP130,RNA5SP151,RNA5SP146,RNA5SP150
RNA5SP146,RNA5SP131,RNASE7,RNA5SP147,RNA5SP151
RNA5SP147,RNA5SP132,RNF123,RNA5SP148,RNASE7
RNA5SP148,RNA5SP145,RNF13,RNA5SP149,RNF123
RNA5SP149,RNA5SP146,RNF152,RNA5SP150,RNF13
RNA5SP150,RNA5SP147,RNF168,RNA5SP151,RNF152
RNA5SP151,RNA5SP148,RNF186,RNASE7,RNF168
RNASE7,RNA5SP149,RNF217,RNF123,RNF186
RNF123,RNA5SP150,RNU6ATAC24P,RNF13,RNF217
RNF13,RNA5SP151,RNU6ATAC29P,RNF152,RNU6ATAC24P
RNF152,RNASE7,RNY5P3,RNF168,RNU6ATAC29P
RNF168,RNF123,RORC,RNF186,RNY5P3
RNF186,RNF13,RPL22L1,RNF217,RORC
RNF217,RNF152,RPL29,RNU6ATAC24P,RPL22L1
RNU6ATAC24P,RNF168,RPL35A,RNU6ATAC29P,RPL29
RNU6ATAC29P,RNF186,RPL39L,RNY5P3,RPL35A
RNY5P3,RNF217,RPS6KA2,RORC,RPL39L
RORC,RNU6ATAC24P,RRP9,RPL22L1,RPS6KA2
RPL22L1,RNU6ATAC29P,RSRC1,RPL29,RRP9
RPL29,RNY5P3,RTP1,RPL35A,RSRC1
RPL35A,RORC,RTP2,RPL39L,RTP1
RPL39L,RPL22L1,RTP4,RPS6KA2,RTP2
RPS6KA2,RPL29,S100A2,RRP9,RTP4
RRP9,RPL35A,S100A7,RSRC1,S100A2
RSRC1,RPL39L,S100A7A,RTP1,S100A7
RTP1,RPS6KA2,S1PR5,RTP2,S100A7A
RTP2,RRP9,SAMD7,RTP4,S1PR5
RTP4,RSRC1,SBSN,S100A2,SAMD7
S100A2,RTP1,SCARNA7,S100A7,SBSN
S100A7,RTP2,SCHIP1,S100A7A,SCARNA7
S100A7A,RTP4,SDHAP1,S1PR5,SCHIP1
S1PR5,S100A2,SDK2,SAMD7,SDHAP1
SAMD7,S100A7,SEC22C,SBSN,SDK2
SBSN,S100A7A,SEC62,SCARNA7,SEC22C
SCARNA7,S1PR5,SELT,SCHIP1,SEC62
SCHIP1,SAMD7,SEMA3B,SDHAP1,SELT
SDHAP1,SBSN,SEMA3F,SDK2,SEMA3B
SDK2,SCARNA7,SENP2,SEC22C,SEMA3F
SEC62,SCHIP1,SENP5,SEC62,SENP2
SELT,SDHAP1,SERP1,SELT,SENP5
SEMA3B,SDK2,SERPINB13,SEMA3B,SERP1
SEMA3F,SEC62,SERPINB2,SEMA3F,SERPINB13
SENP2,SELT,SERPINB4,SENP2,SERPINB2
SENP5,SEMA3B,SERPINB5,SENP5,SERPINB4
SERP1,SEMA3F,SERPINB7,SERP1,SERPINB5
SERPINB13,SENP2,SERPINI1,SERPINB13,SERPINB7
SERPINB2,SENP5,SERPINI2,SERPINB2,SERPINI1
SERPINB4,SERP1,SESN3,SERPINB4,SERPINI2
SERPINB5,SERPINB13,SFN,SERPINB5,SESN3
SERPINB7,SERPINB2,SFTA2,SERPINB7,SFN
SERPINI1,SERPINB4,SFTA3,SERPINI1,SFTA2
SERPINI2,SERPINB5,SGMS2,SERPINI2,SFTA3
SESN3,SERPINB7,SH2D5,SESN3,SGMS2
SFN,SERPINI1,SH3BP1,SFN,SH2D5
SFTA2,SERPINI2,SH3GL3,SFTA2,SH3BP1
SFTA3,SESN3,SHISA5,SFTA3,SH3GL3
SGMS2,SFN,SHOX2,SGMS2,SHISA5
SH2D5,SFTA2,SHROOM3,SH2D5,SHOX2
SH3BP1,SFTA3,SI,SH3BP1,SHROOM3
SH3GL3,SGMS2,SIAH2,SH3GL3,SI
SHISA5,SH2D5,SKIL,SHISA5,SIAH2
SHOX2,SH3BP1,SKP2,SHOX2,SKIL
SHROOM3,SH3GL3,SLC16A1,SHROOM3,SKP2
SI,SHISA5,SLC25A20,SI,SLC16A1
SIAH2,SHOX2,SLC2A1,SIAH2,SLC25A20
SKIL,SHROOM3,SLC2A2,SKIL,SLC2A1
SKP2,SI,SLC2A9,SKP2,SLC2A2
SLC16A1,SIAH2,SLC33A1,SLC16A1,SLC2A9
SLC25A20,SKIL,SLC38A3,SLC25A20,SLC33A1
SLC2A1,SKP2,SLC39A2,SLC2A1,SLC38A3
SLC2A2,SLC16A1,SLC41A2,SLC2A2,SLC39A2
SLC2A9,SLC25A20,SLC44A4,SLC2A9,SLC41A2
SLC33A1,SLC2A1,SLC51A,SLC33A1,SLC44A4
SLC38A3,SLC2A2,SLC5A12,SLC38A3,SLC51A
SLC39A2,SLC2A9,SLC6A10P,SLC39A2,SLC5A12
SLC41A2,SLC33A1,SLC6A15,SLC41A2,SLC6A10P
SLC44A4,SLC38A3,SLC6A2,SLC44A4,SLC6A15
SLC51A,SLC39A2,SLC6A8,SLC51A,SLC6A2
SLC5A12,SLC41A2,SLC7A14,SLC5A12,SLC6A8
SLC6A10P,SLC44A4,SLC9A3R1,SLC6A10P,SLC7A14
SLC6A15,SLC51A,SLC9A3R2,SLC6A15,SLC9A3R1
SLC6A2,SLC5A12,SLCO1A2,SLC6A2,SLC9A3R2
SLC6A8,SLC6A10P,SLITRK3,SLC6A8,SLCO1A2
SLC7A14,SLC6A15,SMARCC1,SLC7A14,SLITRK3
SLC9A3R1,SLC6A2,SMC4,SLC9A3R1,SMC4
SLC9A3R2,SLC6A8,SMCO1,SLC9A3R2,SMCO1
SLCO1A2,SLC7A14,SMO,SLCO1A2,SMO
SLITRK3,SLC9A3R1,SMPDL3B,SLITRK3,SMPDL3B
SMC4,SLC9A3R2,SNAI2,SMC4,SNAI2
SMCO1,SLCO1A2,SNCA,SMCO1,SNCA
SMO,SLITRK3,SNORA18|ENSG00000200288.1,SMO,SNORA18|ENSG00000200288.1
SMPDL3B,SMC4,SNORA25|ENSG00000201957.1,SMPDL3B,SNORA25|ENSG00000201957.1
SNAI2,SMCO1,SNORA26|ENSG00000212608.1,SNAI2,SNORA26|ENSG00000212608.1
SNCA,SMO,SNORA4|ENSG00000251730.1,SNCA,SNORA4|ENSG00000251730.1
SNORA18|ENSG00000200288.1,SMPDL3B,SNORA4|ENSG00000263776.1,SNORA18|ENSG00000200288.1,SNORA4|ENSG00000263776.1
SNORA25|ENSG00000201957.1,SNAI2,SNORA63|ENSG00000199363.1,SNORA25|ENSG00000201957.1,SNORA63|ENSG00000199363.1
SNORA26|ENSG00000212608.1,SNCA,SNORA63|ENSG00000200320.1,SNORA26|ENSG00000212608.1,SNORA63|ENSG00000200320.1
SNORA4|ENSG00000251730.1,SNORA18|ENSG00000200288.1,SNORA63|ENSG00000200418.1,SNORA4|ENSG00000251730.1,SNORA63|ENSG00000200418.1
SNORA4|ENSG00000263776.1,SNORA25|ENSG00000201957.1,SNORA63|ENSG00000201229.1,SNORA4|ENSG00000263776.1,SNORA63|ENSG00000201229.1
SNORA63|ENSG00000199363.1,SNORA26|ENSG00000212608.1,SNORA72|ENSG00000200355.1,SNORA63|ENSG00000199363.1,SNORA72|ENSG00000200355.1
SNORA63|ENSG00000200320.1,SNORA4|ENSG00000251730.1,SNORA72|ENSG00000207084.1,SNORA63|ENSG00000200320.1,SNORA72|ENSG00000207084.1
SNORA63|ENSG00000200418.1,SNORA4|ENSG00000263776.1,SNORA81|ENSG00000221420.2,SNORA63|ENSG00000200418.1,SNORA81|ENSG00000221420.2
SNORA63|ENSG00000201229.1,SNORA63|ENSG00000199363.1,SNORA81|ENSG00000253092.1,SNORA63|ENSG00000201229.1,SNORA81|ENSG00000253092.1
SNORA72|ENSG00000200355.1,SNORA63|ENSG00000200320.1,SNORD19B|ENSG00000238862.1,SNORA72|ENSG00000200355.1,SNORD19B|ENSG00000238862.1
SNORA72|ENSG00000207084.1,SNORA63|ENSG00000200418.1,SNORD19B|ENSG00000252787.1,SNORA72|ENSG00000207084.1,SNORD19B|ENSG00000252787.1
SNORA81|ENSG00000221420.2,SNORA63|ENSG00000201229.1,SNORD19|ENSG00000212493.1,SNORA81|ENSG00000221420.2,SNORD19|ENSG00000212493.1
SNORA81|ENSG00000253092.1,SNORA72|ENSG00000200355.1,SNORD19|ENSG00000222345.1,SNORA81|ENSG00000253092.1,SNORD19|ENSG00000222345.1
SNORD19B|ENSG00000238862.1,SNORA72|ENSG00000207084.1,SNORD2|ENSG00000238942.1,SNORD19B|ENSG00000238862.1,SNORD2|ENSG00000238942.1
SNORD19B|ENSG00000252787.1,SNORA81|ENSG00000221420.2,SNORD38|ENSG00000207109.1,SNORD19B|ENSG00000252787.1,SNORD38|ENSG00000207109.1
SNORD19|ENSG00000212493.1,SNORA81|ENSG00000253092.1,SNORD63|ENSG00000251987.1,SNORD19|ENSG00000212493.1,SNORD63|ENSG00000251987.1
SNORD19|ENSG00000222345.1,SNORD19B|ENSG00000238862.1,SNORD66|ENSG00000212158.1,SNORD19|ENSG00000222345.1,SNORD66|ENSG00000212158.1
SNORD2|ENSG00000238942.1,SNORD19B|ENSG00000252787.1,SNORD69,SNORD2|ENSG00000238942.1,SNORD69
SNORD38|ENSG00000207109.1,SNORD19|ENSG00000212493.1,SNRK,SNORD38|ENSG00000207109.1,SNRK
SNORD63|ENSG00000251987.1,SNORD19|ENSG00000222345.1,SNTB1,SNORD63|ENSG00000251987.1,SNTB1
SNORD66|ENSG00000212158.1,SNORD2|ENSG00000238942.1,SNX31,SNORD66|ENSG00000212158.1,SNX31
SNORD69,SNORD38|ENSG00000207109.1,SOX15,SNORD69,SOX15
SNRK,SNORD63|ENSG00000251987.1,SOX2,SNRK,SOX2
SNTB1,SNORD66|ENSG00000212158.1,SPATA16,SNTB1,SPATA16
SNX31,SNORD69,SPCS1,SNX31,SPCS1
SOX15,SNRK,SPDEF,SOX15,SPDEF
SOX2,SNTB1,SPINK8,SOX2,SPINK8
SPATA16,SNX31,SPRR1A,SPATA16,SPRR1A
SPCS1,SOX15,SPRR1B,SPCS1,SPRR1B
SPDEF,SOX2,SPRR2A,SPDEF,SPRR2A
SPINK8,SPATA16,SPRR2D,SPINK8,SPRR2D
SPRR1A,SPCS1,SPRR2E,SPRR1A,SPRR2E
SPRR1B,SPDEF,SPRR2G,SPRR1B,SPRR2G
SPRR2A,SPINK8,SPRR3,SPRR2A,SPRR3
SPRR2D,SPRR1A,SPTSSB,SPRR2D,SPTSSB
SPRR2E,SPRR1B,SS18L2,SPRR2E,SS18L2
SPRR2G,SPRR2A,SSR3,SPRR2G,SSR3
SPRR3,SPRR2D,SST,SPRR3,SST
SPTSSB,SPRR2E,ST3GAL5,SPTSSB,ST3GAL5
SSR3,SPRR3,ST6GAL1,SSR3,ST6GAL1
SST,SPTSSB,ST6GALNAC2,SST,ST6GALNAC2
ST3GAL5,SSR3,STAR,ST3GAL5,STAR
ST6GAL1,SST,STARD5,ST6GAL1,STARD5
ST6GALNAC2,ST3GAL5,STK32A,ST6GALNAC2,STK32A
STAR,ST6GAL1,STON2,STAR,STON2
STARD5,ST6GALNAC2,SUCLG2,STARD5,SUCLG2
STK32A,STAR,SUCNR1,STK32A,SUCNR1
STON2,STARD5,SYNGR1,STON2,SYNGR1
SUCLG2,STK32A,SYT14,SUCLG2,SYT14
SUCNR1,STON2,TBCCD1,SUCNR1,TBCCD1
SYNGR1,SUCLG2,TBL1XR1,SYNGR1,TBL1XR1
SYT14,SUCNR1,TCAIM,SYT14,TCAIM
TBCCD1,SYNGR1,TCTEX1D2,TBCCD1,TCTEX1D2
TBL1XR1,TBCCD1,TERC,TBL1XR1,TERC
TCAIM,TBL1XR1,TESC,TCAIM,TESC
TCTEX1D2,TCTA,TEX264,TCTEX1D2,TEX264
TERC,TCTEX1D2,TFRC,TERC,TFRC
TESC,TERC,TGM1,TESC,TGM1
TEX264,TESC,TGM4,TEX264,TGM4
TFRC,TEX264,THPO,TFRC,THPO
TGM1,TFRC,TIPARP,TGM1,TIPARP
TGM4,TGM1,TJP3,TGM4,TJP3
THPO,TGM4,TKT,THPO,TKT
TIPARP,THPO,TLR9,TIPARP,TLR9
TJP3,TIPARP,TM4SF1,TJP3,TM4SF1
TKT,TJP3,TM4SF18,TKT,TM4SF18
TLR9,TKT,TM4SF19,TLR9,TM4SF19
TM4SF1,TLR9,TM4SF4,TM4SF1,TM4SF4
TM4SF18,TM4SF1,TMA7,TM4SF18,TMA7
TM4SF19,TM4SF18,TMC5,TM4SF19,TMC5
TM4SF4,TM4SF19,TMEM110,TM4SF4,TMEM110
TMA7,TM4SF4,TMEM115,TMA7,TMEM115
TMC5,TMA7,TMEM117,TMC5,TMEM117
TMEM110,TMC5,TMEM125,TMEM110,TMEM125
TMEM115,TMEM110,TMEM14E,TMEM115,TMEM14E
TMEM117,TMEM115,TMEM150A,TMEM117,TMEM150A
TMEM125,TMEM117,TMEM189,TMEM125,TMEM189
TMEM14E,TMEM125,TMEM207,TMEM14E,TMEM207
TMEM150A,TMEM14E,TMEM212,TMEM150A,TMEM212
TMEM189,TMEM150A,TMEM40,TMEM189,TMEM40
TMEM207,TMEM189,TMEM41A,TMEM207,TMEM41A
TMEM212,TMEM207,TMEM42,TMEM212,TMEM42
TMEM40,TMEM212,TMEM44,TMEM40,TMEM44
TMEM41A,TMEM40,TMEM45B,TMEM41A,TMEM45B
TMEM42,TMEM41A,TMEM62,TMEM42,TMEM62
TMEM44,TMEM42,TMEM63A,TMEM44,TMEM63A
TMEM45B,TMEM44,TMEM92,TMEM45B,TMEM92
TMEM62,TMEM45B,TMF1,TMEM62,TMF1
TMEM63A,TMEM62,TMPRSS11A,TMEM63A,TMPRSS11A
TMEM92,TMEM63A,TMPRSS11D,TMEM92,TMPRSS11D
TMF1,TMEM92,TMPRSS11F,TMF1,TMPRSS11F
TMPRSS11A,TMF1,TMTC3,TMPRSS11A,TMTC3
TMPRSS11D,TMPRSS11A,TNFRSF10C,TMPRSS11D,TNFRSF10C
TMPRSS11F,TMPRSS11D,TNFSF10,TMPRSS11F,TNFSF10
TMTC3,TMPRSS11F,TNIK,TMTC3,TNIK
TNFRSF10C,TMTC3,TNK2,TNFRSF10C,TNK2
TNFSF10,TNFRSF10C,TNS4,TNFSF10,TNS4
TNIK,TNFSF10,TOX3,TNIK,TOX3
TNK2,TNIK,TP53AIP1,TNK2,TP53AIP1
TNS4,TNK2,TP63,TNS4,TP63
TOX3,TNS4,TPCN1,TOX3,TPCN1
TP53AIP1,TOX3,TPD52L1,TP53AIP1,TPD52L1
TP63,TP53AIP1,TPRG1,TP63,TPRG1
TPCN1,TP63,TPRXL,TPCN1,TPRXL
TPD52L1,TPCN1,TRA2B,TPD52L1,TRA2B
TPRG1,TPD52L1,TRAF3IP2,TPRG1,TRAF3IP2
TPRXL,TPRG1,TREX1,TPRXL,TREX1
TRA2B,TPRXL,TRIM29,TRA2B,TRIM29
TRAF3IP2,TRA2B,TRIM59,TRAF3IP2,TRIM59
TREX1,TRAF3IP2,TRPV4,TREX1,TRPV4
TRIM29,TREX1,TSC22D2,TRIM29,TSC22D2
TRIM59,TRIM29,TSLP,TRIM59,TSLP
TRPV4,TRIM59,TTC14,TRPV4,TTC14
TSC22D2,TRPV4,TTL,TSC22D2,TTC39A
TSLP,TSC22D2,TUBA1C,TSLP,TUBA1C
TTC14,TSLP,TUSC2,TTC14,TUSC2
TTL,TTC14,TWF2,TUBA1C,TWF2
TUBA1C,TTL,U4|ENSG00000272359.1,TUSC2,U4|ENSG00000272359.1
