seed1,seed2,seed3,seed4,seed5
CACNA1B,CACNA2D2,CACNA2D2,CADPS2,CADPS2
CACNA2D2,CADPS2,CADPS2,CALML3,CALML3
CADPS2,CALML3,CALML3,CALML5,CALML5
CALML3,CALML5,CALML5,CAMK2N2,CAMK2N2
CALML5,CAMK2N2,CAMK2N2,CAMP,CAMP
CAMK2N2,CAMP,CAMP,CAPN8,CAPN8
CAMP,CAPN8,CAPN8,CAPNS2,CAPNS2
CAPN8,CAPNS2,CAPNS2,CCDC125,CCDC125
CAPNS2,CCDC125,CCDC125,CCDC13,CCDC13
CCDC125,CCDC13,CCDC13,CCDC36,CCDC36
CCDC13,CCDC36,CCDC36,CCDC39,CCDC39
CCDC36,CCDC39,CCDC39,CCDC50,CCDC50
CCDC39,CCDC50,CCDC50,CCDC51,CCDC51
CCDC50,CCDC51,CCDC51,CCDC71,CCNJL
CCDC51,CCNJL,CCNJL,CCNJL,CCNL1
CCDC71,CCNL1,CCNL1,CCNL1,CD109
CCNJL,CD109,CD109,CD109,CD2AP
CCNL1,CD2AP,CD2AP,CD2AP,CD55
CD109,CD55,CD55,CD55,CD9
CD2AP,CD9,CD9,CD9,CDC45
CD55,CDC45,CDC45,CDC45,CDCA4
CD9,CDCA4,CDCA4,CDCA4,CDCP1
CDC45,CDCP1,CDCP1,CDCP1,CDHR1
CDCA4,CDH8,CDHR1,CDHR1,CEACAM6
CDCP1,CDHR1,CEACAM6,CEACAM6,CEL
CDHR1,CEACAM6,CEL,CEL,CELSR2
CEACAM6,CEL,CELSR2,CELSR2,CENPW
CEL,CELSR2,CENPW,CENPW,CEP19
CELSR2,CENPW,CEP19,CEP19,CGN
CENPW,CEP19,CGN,CGN,CHDH
CEP19,CGN,CHDH,CHDH,CHRD
CGN,CHRD,CHRD,CHRD,CHRM3
CHDH,CHRM3,CHRM3,CHRM3,CISH
CHRD,CISH,CISH,CISH,CLCA2
CHRM3,CLCA2,CLCA2,CLCA2,CLCA4
CISH,CLCA4,CLCA4,CLCA4,CLCN2
CLCA2,CLCN2,CLCN2,CLCN2,CLDN1
CLCA4,CLDN1,CLDN1,CLDN1,CLDN11
CLCN2,CLDN11,CLDN11,CLDN11,CLDN16
CLDN1,CLDN16,CLDN16,CLDN16,CLDN3
CLDN11,CLDN3,CLDN3,CLDN3,CLEC3B
CLDN16,CLEC3B,CLEC3B,CLEC3B,CLRN1
CLDN3,CLRN1,CLRN1,CLRN1,CNGB3
CLEC3B,CNGB3,CNGB3,CNGB3,COL4A5
CLRN1,COL4A5,COL4A5,COL4A5,COL4A6
CNGB3,COL4A6,COL4A6,COL4A6,COL7A1
COL4A5,COL7A1,COL7A1,COL7A1,COMMD2
COL4A6,COMMD2,COMMD2,COMMD2,COQ3
COL7A1,COQ3,COQ3,COQ3,CP
COMMD2,CP,CP,CP,CPA3
COQ3,CPA3,CPA3,CPA3,CPA4
CP,CPA4,CPA4,CPA4,CPB1
CPA3,CPB1,CPB1,CPB1,CPHL1P
CPA4,CPHL1P,CPHL1P,CPHL1P,CPM
CPB1,CPM,CPM,CPM,CPN2
CPHL1P,CPN2,CPN2,CPN2,CRKL
CPM,CRKL,CRKL,CRKL,CRYGS
CPN2,CRYGS,CRYGS,CRYGS,CSDA
CRKL,CSDA,CSDA,CSDA,CSTA
CRYGS,CSTA,CSTA,CSTA,CT64
CSDA,CT64,CT64,CT64,CTSL2
CSTA,CTSL2,CTSL2,CTSL2,CXCR7
CT64,CXCR7,CXCR7,CXCR7,CYB561D2
CTSL2,CYB561D2,CYB561D2,CYB561D2,CYB5R2
CXCR7,CYB5R2,CYB5R2,CYB5R2,CYP2AB1P
CYB561D2,CYP2AB1P,CYP2AB1P,CYP2AB1P,CYP2S1
CYB5R2,CYP2S1,CYP2S1,CYP2S1,CYP8B1
CYP2AB1P,CYP8B1,CYP8B1,CYP8B1,D4S234E
CYP2S1,D4S234E,D4S234E,D4S234E,DALRD3
CYP8B1,DAG1,DALRD3,DALRD3,DAPL1
D4S234E,DALRD3,DAPL1,DAPL1,DCP1A
DALRD3,DAPL1,DCP1A,DCP1A,DCUN1D1
DAPL1,DCP1A,DCUN1D1,DCUN1D1,DDAH1
DCP1A,DCUN1D1,DDAH1,DDAH1,DENND2C
DCUN1D1,DDAH1,DENND2C,DENND2C,DGKA
DDAH1,DENND2C,DGKA,DGKA,DGKG
DENND2C,DGKA,DGKG,DGKG,DHX30
DGKA,DGKG,DHX30,DHX30,DHX36
DGKG,DHX30,DHX36,DHX36,DIP2B
DHX30,DHX36,DIP2B,DIP2B,DLG1
DHX36,DIP2B,DLG1,DLG1,DLK2
DIP2B,DLG1,DLK2,DLK2,DLX1
DLG1,DLK2,DLX1,DLX1,DLX5
