Gene,Importance
DSG3,0.6582017724121186
KRT5,0.6505862316280046
BNC1,0.6306429011380096
LASS3,0.6290513374221783
DSC3,0.6275340242024379
CALML3,0.6086420144968655
S1PR5,0.5976139288108999
CLCA2,0.5896667505394895
KRT74,0.5799473847558893
SERPINB13,0.5740211271062751
TP63,0.5681927264784001
IRF6,0.5663494002710425
PVRL1,0.5577187869813945
FAT2,0.5356057315577566
CSTA,0.5318570627559834
KRT6C,0.5195637620465865
DAPL1,0.510824193239016
KRT6B,0.5087891757395948
PERP,0.5086542195906224
VSNL1,0.5067510368646432
LOC642587,0.5039303933737406
ATP1B3,0.49969434972560867
TPRXL,0.49889984555950617
JAG1,0.48858613991631117
KRT6A,0.4804376455614309
HR,0.4788284508174147
C10orf99,0.4749363081138775
FAM83C,0.4739587937729599
KRT31,0.4711231530487485
RAET1L,0.46781305457140687
GBP6,0.46422774189384713
NTRK2,0.46396775302364907
KRT13,0.4616858178040079
WFDC5,0.46008936948386087
BMP7,0.4593608176599537
KRT17,0.4584695806757796
A2ML1,0.45558021290045353
DQX1,0.4555268253428914
PKP1,0.4543551084583263
TRIM29,0.45241912417162394
GPC1,0.4521511073036466
P2RY1,0.45149061758781744
ANXA8,0.4487297880022227
C3orf21,0.44551291835692974
HNF1B,0.44361876676294343
PARD6G,0.4436067020239196
FAM181B,0.4406660901513051
COL4A6,0.4405039646992
KRT14,0.43947057625165364
C12orf54,0.4377968136112853
CELSR2,0.43317777630704246
ODZ2,0.42764721632446145
ADH7,0.425600411919943
KRT16,0.4247117200345925
SNAI2,0.42048123109650376
DLX5,0.42039243024023853
FAM83B,0.41918331044283624
ABCC5,0.418943350232892
HOXD11,0.4177793080327069
DDAH1,0.41595081958106384
SPRR2A,0.4152907513791819
ADAM23,0.41469803112650444
GJB5,0.4139228927741009
DENND2C,0.4138057653922336
AP2M1,0.41329238585190825
TMPRSS11A,0.4112399364209128
RORC,0.41069226068562303
SERPINB5,0.4084606910329776
CDHR1,0.4084226787139804
RBM47,0.40788234239975646
TMEM40,0.40784301778809057
LOC100130933,0.40594580506022193
STARD5,0.404856932994104
PTPRZ1,0.4041043716178857
GABRQ,0.40377819703338846
MCC,0.403102628934487
ITGA6,0.40172099245749104
SLC16A1,0.400789582029971
CAPNS2,0.39965289702371604
MICALL1,0.39934720415602487
SIAH2,0.39885797202994716
IGSF11,0.3974552126279456
NMNAT3,0.397015568690659
S100A2,0.39606416609430556
SLC6A8,0.3950317456173322
SH3BP1,0.3944000855488621
TMPRSS11F,0.3943778029030136
ARRB1,0.39436111225354037
RGL3,0.3933396259172952
TBCCD1,0.3917930348420982
ZNF488,0.3917897664585783
EPHA10,0.39153820505843195
ARHGEF38,0.3900861407246541
GABRA3,0.3894544088316976
PNCK,0.38936031933496873
SERPINB2,0.38868571998752555
BICD2,0.38833876267745554
TMEM189,0.3876502747360651
LONRF3,0.3870690227178951
COL7A1,0.3862167731367102
ATP11A,0.38455297630517127
RHCG,0.384141165373656
ALDH3B1,0.38130369722026936
SLC39A2,0.38047743270593626
SPDEF,0.3801586722205385
HAP1,0.3799572901632212
KCNQ3,0.3797861690070821
TMTC3,0.379351187580447
CLDN3,0.3780817437320695
GPR39,0.37760248965948956
TMEM117,0.3773880897065599
TMEM125,0.3768686153433068
USP31,0.37664582111398426
KCNG1,0.37543235515123946
SOX15,0.3749900532872738
ACSL5,0.37445437678648325
BCL2L15,0.3741047885926705
DLG1,0.3727236507413195
KCTD1,0.37271906182827447
ST6GALNAC2,0.37247718807326574
LGALS7,0.372355359586844
KCNK5,0.3717366503032742
RAPGEFL1,0.3716632824137918
USH1G,0.3695131396701669
NKX2-1,0.3692023662335926
CGN,0.36872382439176443
C17orf28,0.3684270645347747
ICA1,0.36797495940656233
STON2,0.36673373201738213
PTHLH,0.36580709601614414
EFNB1,0.3654504556055377
DVL3,0.3653988021131259
TMPRSS11D,0.3649428112216768
FZD6,0.36472983977945245
GRHL3,0.36435996922869035
ANXA8L2,0.3642716099770871
GOLM1,0.3634478556000273
ARTN,0.36306253387246096
CHRM3,0.36279753760945554
KLHL13,0.36160611939270776
COL4A5,0.36111766523635924
SLC2A1,0.36099440266897354
PGAP1,0.36066258711269633
KCTD15,0.3599769320262607
GJB6,0.359917844310186
SLC6A15,0.35898532963791113
MAPKBP1,0.3574929239355773
S100A7,0.3571802781090748
MUC1,0.35710696433021427
YEATS2,0.3554697069404429
CLCA4,0.3552572222464549
SLC9A3R2,0.3549082485157962
SPRR2E,0.3539979967859242
FOXE1,0.3535588081777789
GNA14,0.35353495085193115
SLCO1A2,0.35052605782106
C17orf99,0.3502463104048275
RNASE7,0.35021506443799527
CD2AP,0.3490700174396688
FRRS1,0.34889162148191377
SPRR1A,0.348745685069254
FANCE,0.3485742021548088
FMO5,0.34844894878802435
SESN3,0.3482504411510739
KC6,0.34805971385948115
PLAC2,0.34708296716281306
E2F7,0.3469348904829278
STK32A,0.3468014051760161
LSG1,0.34589182837192717
MLPH,0.34473286993735264
GOLT1A,0.34422112384273135
C3orf54,0.34377731062983524
EN1,0.3418883449396308
DLX6,0.34141342863037594
SEMA3F,0.34014954960849964
MARK1,0.34007777790283245
FOXD1,0.3394298154136596
RNF168,0.339212173301495
GABRR1,0.3390737108829366
PCYT1A,0.3377308743387174
OCLN,0.33655071568576
WDR72,0.3359965213401957
SNTB1,0.3357960636281773
FRMD6,0.33566185270215604
FOXN1,0.3353696683045174
RNF217,0.3348321858220293
LPIN2,0.33471642971002574
ST3GAL5,0.3346521580556647
ACAP2,0.33445150861023787
RBP1,0.33417339954492437
COQ3,0.33328421279707965
LOC100129034,0.3321241389627024
PLEKHA6,0.3317890542677524
OXGR1,0.331672140126919
TOX3,0.3313248451682986
TESC,0.3312305277636469
HOXA13,0.3308946800914101
PLD1,0.33054338682130746
