Gene,Importance
DSG3,0.6846655324397134
KRT5,0.6571558113656627
LASS3,0.6460037241110077
BNC1,0.645057825568189
DSC3,0.6380323186182272
S1PR5,0.6157198619403662
CALML3,0.6119852184175083
CLCA2,0.6041418048858025
IRF6,0.5858680098895648
SERPINB13,0.5806286630765786
KRT74,0.5786892442740152
TP63,0.5764934710977139
PVRL1,0.5693863738697972
CSTA,0.5535488059683269
FAT2,0.5506635826596107
LOC642587,0.5331212614463521
KRT6C,0.5330649057277351
VSNL1,0.5297568171183291
DAPL1,0.5255088775496375
PERP,0.525315426943935
JAG1,0.5232068366027536
KRT6B,0.5202979539010547
TPRXL,0.49475401432630756
ATP1B3,0.49207531750160194
KRT6A,0.49125550700593473
A2ML1,0.4786126508988341
KRT17,0.47705624971620036
RAET1L,0.47466083967998784
NTRK2,0.4738071553545282
FAM83C,0.473404198760481
BMP7,0.47294363175201876
C10orf99,0.4722986606127109
TRIM29,0.47076391730220335
WFDC5,0.46878291334558836
HR,0.46558842941396233
ANXA8,0.46279933081789015
DQX1,0.4618116696866849
GPC1,0.4580871700682916
COL4A6,0.45725548039889424
KRT31,0.45564459665719076
FAM181B,0.45524491306692416
PKP1,0.4519997460562423
GBP6,0.4514345780645351
KRT13,0.4506007692484805
KRT14,0.45028002882597296
RBM47,0.45010872061949536
C3orf21,0.4498954880602073
C12orf54,0.44392592251351887
HNF1B,0.44304519135475456
PARD6G,0.4410947598403815
FAM83B,0.44051917435175997
KRT16,0.4385402733252134
P2RY1,0.436791665793113
DDAH1,0.4363713517649414
SERPINB5,0.4326445026089237
ODZ2,0.43242944829409535
SLC16A1,0.42915125862247167
RORC,0.4287335840909561
GJB5,0.4282864799268252
HOXD11,0.42793842906961854
DLX5,0.4266293381470721
MICALL1,0.4260807896439118
ADH7,0.4259406023409446
DENND2C,0.42572113966791586
SNAI2,0.4244564507842487
TMEM40,0.42366956816391266
CAPNS2,0.4205813784130064
ZNF488,0.4185045877484468
MCC,0.41697073267106116
ADAM23,0.41678617556255454
CELSR2,0.4133426872539748
KCNG1,0.41300483220383266
SPRR2A,0.4125860029617088
AP2M1,0.41128041460016973
SH3BP1,0.4102419264330837
TMEM189,0.41008004093521483
ITGA6,0.40965479622381
TMPRSS11A,0.4085058531081833
ARRB1,0.4079711523522005
CDHR1,0.4079546230023936
S100A2,0.40606733788160754
TMPRSS11F,0.4060293201216337
ACSL5,0.40584241102077584
SLC6A8,0.4056965857873297
NMNAT3,0.4048434754237383
SOX15,0.40115660876280224
COL7A1,0.40050067715243703
PTPRZ1,0.4003221558847847
ATP11A,0.3986962584245774
ABCC5,0.3983254264316771
RGL3,0.3971961457420707
SIAH2,0.39712722172299886
SERPINB2,0.39646521698532866
TBCCD1,0.3961365157184881
ALDH3B1,0.3958858720388964
TMEM125,0.39566732341477995
LONRF3,0.39318882535780036
SLC39A2,0.39284830365841683
HAP1,0.39241874499852314
PNCK,0.3923427429103087
STARD5,0.3922939586199068
RHCG,0.39199002379045617
USP31,0.3898835160863899
CLDN3,0.3896913222996323
ARHGEF38,0.3891976661794954
EPHA10,0.38748928358089396
SPDEF,0.38717213355969143
IGSF11,0.3867675441770479
GABRQ,0.38657137824700727
BICD2,0.3855131178436273
SLC2A1,0.3848545113008784
NKX2-1,0.38454628130627294
CHRM3,0.3840141082131556
USH1G,0.38275523277545753
DLG1,0.3825917234532732
PTHLH,0.38160072367067976
ANXA8L2,0.3814592559631153
TMTC3,0.3809892332942704
BCL2L15,0.3800568831850256
KCNQ3,0.3792819522721268
HOXA13,0.37809774696340126
KCNK5,0.3773959560465792
TMPRSS11D,0.3772845192024651
FANCE,0.3769521633972592
FMO5,0.37690185553276695
GPR39,0.3766564753707985
EFNB1,0.37656073393153366
ST6GALNAC2,0.376250795258964
GNA14,0.37611313417326
C17orf28,0.3760742744236605
FOXD1,0.3756406437706155
KCTD15,0.3747894783806449
ICA1,0.37441338731805923
MAPKBP1,0.3739637618054299
LGALS7,0.3734889315810904
SLC6A15,0.37314172567909953
GABRA3,0.3728472425491062
LOC100130933,0.3726924314981739
TMEM117,0.37234809480975534
CGN,0.371838773346553
MUC1,0.37148998129137306
STON2,0.3710016959101639
COL4A5,0.3709563188182068
DVL3,0.36959639858152116
KCTD1,0.369111141780305
FRRS1,0.3690887995773678
GRHL3,0.3690092102248912
GOLM1,0.36876957769136637
RNASE7,0.366627050460243
RAPGEFL1,0.36584171713270663
PGAP1,0.3656915102304802
CLCA4,0.36509592836007426
LSG1,0.3641579064505253
LPCAT1,0.36399907430942297
STK32A,0.36330935326294117
C3orf54,0.3609381798503604
FOXE1,0.36085609570173505
SLC9A3R2,0.3598222486048605
ARTN,0.35953000489216347
SNTB1,0.3595197952294209
SESN3,0.3592935025290343
DLX6,0.3587328092926668
FZD6,0.35808597932974107
PLAC2,0.3577118070378606
E2F7,0.3576583619890909
KLHL13,0.356653820807395
MLPH,0.3561951342235527
WDR72,0.35607861834138954
YEATS2,0.3559985268757996
SMPDL3B,0.3557978332007806
LPIN2,0.35492459190182124
C17orf99,0.35412193659256497
OCLN,0.35405266973325944
KC6,0.3537980705448157
DGKA,0.35231050244199275
ST3GAL5,0.35217022609500165
PCYT1A,0.35145765214572056
CD2AP,0.35113567519824906
HOXA1,0.35018224022520655
GOLT1A,0.34979816880845954
PRR15L,0.3497683186380733
RNF168,0.3496507623508237
S100A7,0.3496058102230329
GLOD5,0.34937322057963494
C9orf152,0.34922838115929805
SEMA3F,0.348226977973482
HDGFRP3,0.34756949858986985
SLCO1A2,0.3475468346057151
SPRR1A,0.34604194002638966
FRMD6,0.3458473478548229
LOC100129034,0.3457485658797507
TMEM63A,0.3455287771433878
PNMA2,0.34496478855316315
RBP1,0.3446720937089917
LIMK2,0.3441977687457832
FST,0.34413443107294045
ZIC5,0.3433802663394735
C15orf41,0.3431843725110321
TRA2B,0.34232902537300797
PLEKHA6,0.34159821294912335
RARG,0.3410352613623704
TOX3,0.3409018392465567
SPRR2E,0.34073831474668903
EN1,0.3400619012348945
SKP2,0.34004910553131096
RNF217,0.33937508164447455
SFTA2,0.3390547656159005
MARK1,0.33883670961525436
ACTL6A,0.3383474832008696
KRT15,0.3375607649750584
CEACAM6,0.33746692988379384
COQ3,0.33740029370103636
QSOX1,0.33721078033247376
ACAP2,0.3370120757275854
SFN,0.3369351905047899
GJB6,0.3366214191676922
MBIP,0.33622723008496486
SNX31,0.33609007538713337
FYTTD1,0.33606738791594754
GABRR1,0.3354639554019418
FBXO45,0.33539755707071095
ABCC6,0.335208378455151
LYPD3,0.3351112700711246
NXPH4,0.3347944840613252
DLK2,0.33469901504190286
CRKL,0.33461822961504667
GJB4,0.3339573580274351
PGM2,0.3336095916450327
GAL3ST1,0.3332418359605553
UCN2,0.3330724054514947
LMO7,0.3328440413820235
TESC,0.3328006816712115
PSMD2,0.33265521665388476
CD9,0.33261365431012135
ZNF385A,0.3321927831976166
PLD1,0.33158036827917814
C12orf56,0.33128177097600997
FBXO27,0.3311778652101431
DSG1,0.33084123086837225
FLJ90757,0.3303452513476522
NKAIN2,0.3301577095734965
ERBB3,0.32990109503731485
FOXN1,0.3292924770095825
RFC4,0.3290091330683585
ACOX2,0.3286024696356032
FSCN1,0.3268897385433379
