Gene,Importance
RNA5SP150,0.4143110372772378
RN7SL703P,0.4143110372772378
SOX2,0.413027610558554
RN7SKP265,0.40784332045877325
ATP11B,0.4072578160913062
MCF2L2,0.40686910725799047
DCUN1D1,0.4068288091138289
MCCC1,0.4059066521544801
B3GNT5,0.4046816808907826
RNA5SP151,0.4046816808907826
LAMP3,0.4002082859671603
FXR1,0.3982398917994075
EIF2B5,0.3966742293706968
HTR3E,0.3951633182063787
ABCC5,0.3951633182063787
MAP6D1,0.3951633182063787
HTR3C,0.3951633182063787
AP2M1,0.3951633182063787
YEATS2,0.3951633182063787
SNORA81|ENSG00000253092.1,0.3951633182063787
HTR3D,0.3951633182063787
SNORA4|ENSG00000251730.1,0.3951633182063787
PARL,0.3951633182063787
LINC00888,0.3951633182063787
MIR4448,0.3951633182063787
KLHL6,0.3951633182063787
KLHL24,0.3951633182063787
SNORA63|ENSG00000199363.1,0.3951633182063787
DVL3,0.3951633182063787
SNORA63|ENSG00000201229.1,0.3951633182063787
CYP2AB1P,0.3951633182063787
CCDC39,0.39413397036113634
DNAJC19,0.39392230187106314
PIK3CA,0.38967957761689986
KCNMB2,0.38843551480561067
U8|ENSG00000201810.1,0.3864397692960449
RN7SL229P,0.3863439189561184
ZMAT3,0.386316865753839
KCNMB3,0.38606188078578213
ZNF639,0.3851695975165629
SNORA25|ENSG00000201957.1,0.3847545771008647
PEX5L,0.38404606204049707
TTC14,0.38345320872585476
MFN1,0.3832345280672706
GNB4,0.3829926908414049
USP13,0.3815618702207249
ABCF3,0.38089623030565506
RNA5SP149,0.3800108712300949
snoU13|ENSG00000239096.1,0.379324994928053
MRPL47,0.379324994928053
NDUFB5,0.379324994928053
ACTL6A,0.379324994928053
RNA5SP148,0.3775246097790067
VPS8,0.37746852443501044
EPHB3,0.3770320410696668
MIR1224,0.3768007992428808
VWA5B2,0.3768007992428808
ALG3,0.3768007992428808
ECE2,0.3768007992428808
CAMK2N2,0.3768007992428808
MAGEF1,0.3767052590084588
EIF4G1,0.3764630768235623
FAM131A,0.3764630768235623
CLCN2,0.3764630768235623
PSMD2,0.3763807601939
SNORD66|ENSG00000212158.1,0.3763807601939
CHRD,0.3757300272530065
THPO,0.3757300272530065
POLR2H,0.3755571870611387
RNA5SP147,0.3753605573957281
LINC00501,0.3739154822572577
