Gene,Importance
DSG3,0.6769359218615572
LASS3,0.6661487464984971
KRT5,0.6607511424037372
BNC1,0.6468269946289316
DSC3,0.6463848979815885
CALML3,0.6199679657234781
S1PR5,0.61555266512412
CLCA2,0.6152309295916627
SERPINB13,0.6005656597758474
IRF6,0.5893738720985265
TP63,0.5830088067010759
PVRL1,0.5762220849018039
KRT74,0.5704777985599084
FAT2,0.5561592633009155
CSTA,0.5497165526283777
KRT6C,0.538277833551478
LOC642587,0.5352617003850185
VSNL1,0.5287051215377548
KRT6B,0.5243030154276735
PERP,0.5196965150718295
JAG1,0.5129893245336965
DAPL1,0.5129548513592291
KRT6A,0.4990859408754817
TPRXL,0.49186036750967677
RAET1L,0.4882751926313052
WFDC5,0.48326370179015066
A2ML1,0.482594460902954
TRIM29,0.4785591187487706
ATP1B3,0.4764049405878613
KRT17,0.4744547704471021
FAM83C,0.47312488450632845
C10orf99,0.4723267333090398
KRT31,0.4718849401179075
PKP1,0.46930499180216395
C12orf54,0.4677648469183026
ANXA8,0.4642594779033568
COL4A6,0.46251243400656666
NTRK2,0.46123902019535085
BMP7,0.45955801238787897
GPC1,0.4582630564343868
HNF1B,0.4571822714589986
KRT14,0.4559229141323695
DQX1,0.4553982881629074
FAM181B,0.45253815423670324
P2RY1,0.45092966495201037
C3orf21,0.4506731635171954
HR,0.44963011782959583
KRT13,0.44848421882817124
GBP6,0.4481011122495907
KRT16,0.44672985101889506
SPRR2A,0.44594968670857027
SNAI2,0.4447312860255757
DDAH1,0.4434505280117083
HOXD11,0.4426830322188364
DENND2C,0.43916055909482116
ODZ2,0.4363225921284057
CAPNS2,0.43441609076087573
CELSR2,0.43324866924996647
DLX5,0.4330384361887897
GJB5,0.43118600463490947
SLC16A1,0.4304724387459363
MCC,0.4289767400520386
TMEM40,0.4264908181731874
RGL3,0.4259441941904198
PARD6G,0.42535987805937603
MICALL1,0.42494588283390267
FAM83B,0.4230310838226463
ITGA6,0.4229751082671687
ADH7,0.4229030187699132
TMPRSS11A,0.4224849605325126
GABRQ,0.419940801784678
SLC6A8,0.4199376921326269
EPHA10,0.41917351816451304
SERPINB5,0.4188227070939905
S100A2,0.41657847018206917
ZNF488,0.4164523612105147
SH3BP1,0.41384937853234366
TMPRSS11F,0.4113874766164259
STARD5,0.41125061045921113
RBM47,0.41081079574934404
TMEM189,0.4094670959103865
SERPINB2,0.4053500103739403
ARRB1,0.4048734989576359
SLC39A2,0.40484289370514376
ATP11A,0.4030733675233311
RORC,0.40283929995811624
TMEM117,0.40210986846874874
RHCG,0.4020088345616934
COL7A1,0.40157710678812175
CDHR1,0.40064974495749783
ADAM23,0.400136327915896
KCNG1,0.3983743273937729
PNCK,0.39680259172276505
FOXD1,0.3963406649087689
TBCCD1,0.39611564264922267
COL4A5,0.39564057665473995
BICD2,0.3952643846316311
KCNQ3,0.3948835477635888
ARHGEF38,0.3948718157277068
PTHLH,0.394301981279734
KCNK5,0.393492620526523
TMPRSS11D,0.39341940953656906
IGSF11,0.39245137082148507
AP2M1,0.39212774589790067
ABCC5,0.39143630745313984
C17orf28,0.3913144927714925
SIAH2,0.3902990089769596
