Gene,Importance
RN7SL703P,0.08557395981470267
RNA5SP150,0.08557395981470267
SOX2,0.08525011757085936
RN7SKP265,0.08478004252263419
ATP11B,0.08385675786035117
DCUN1D1,0.08378347812618804
MCF2L2,0.08378152377465826
MCCC1,0.08352303684825618
B3GNT5,0.08340639529153357
RNA5SP151,0.08340639529153357
LAMP3,0.08314955294912778
DNAJC19,0.08263362948986913
FXR1,0.08252576843468828
EIF2B5,0.08238618155193524
HTR3C,0.0820306331929991
ABCC5,0.0820306331929991
AP2M1,0.0820306331929991
DVL3,0.0820306331929991
CYP2AB1P,0.0820306331929991
HTR3D,0.0820306331929991
SNORA63|ENSG00000201229.1,0.0820306331929991
HTR3E,0.0820306331929991
YEATS2,0.0820306331929991
KLHL24,0.0820306331929991
KLHL6,0.0820306331929991
LINC00888,0.0820306331929991
MAP6D1,0.0820306331929991
MIR4448,0.0820306331929991
PARL,0.0820306331929991
SNORA81|ENSG00000253092.1,0.0820306331929991
SNORA4|ENSG00000251730.1,0.0820306331929991
SNORA63|ENSG00000199363.1,0.0820306331929991
CCDC39,0.0815970769209107
RN7SL229P,0.08091761028428227
U8|ENSG00000201810.1,0.08084298728545071
PIK3CA,0.08054029371594305
PEX5L,0.08047050027456665
TTC14,0.08012700468875412
KCNMB3,0.08002981371706959
KCNMB2,0.07998662649075634
USP13,0.07983212007716026
ZNF639,0.0797900874389265
ZMAT3,0.07974661860576455
ABCF3,0.07967108601681187
RNA5SP149,0.07961472522211745
SNORA25|ENSG00000201957.1,0.07940323284662285
MFN1,0.07927138170400302
MRPL47,0.0792212275242534
ACTL6A,0.0792212275242534
snoU13|ENSG00000239096.1,0.0792212275242534
NDUFB5,0.0792212275242534
GNB4,0.07921227242646539
MAGEF1,0.07890473521916062
FAM131A,0.07887302347193095
CLCN2,0.07887302347193095
EIF4G1,0.07887302347193095
VPS8,0.07886423452218366
PSMD2,0.07885600315399681
SNORD66|ENSG00000212158.1,0.07885600315399681
EPHB3,0.07874693682150348
