Gene,Importance
DSG3,0.7147153731571394
KRT5,0.7055187625809666
LASS3,0.692890486815644
DSC3,0.6784795518212938
BNC1,0.6689747485885652
S1PR5,0.6660668566784237
CLCA2,0.6391998948336128
CALML3,0.6380943217222123
IRF6,0.6281624983393888
TP63,0.6258172218753981
SERPINB13,0.6235934547491047
PVRL1,0.6223442086899864
KRT74,0.6158890855566868
CSTA,0.591100756864441
FAT2,0.580165838972728
KRT6C,0.5752442906957993
VSNL1,0.565636646315476
LOC642587,0.5626000549022322
DAPL1,0.5616285557527865
KRT6B,0.5541475592017798
PERP,0.5510934749177736
KRT6A,0.5336545351083969
ATP1B3,0.5277313994871485
JAG1,0.5255583714118932
TRIM29,0.5232190099717698
KRT17,0.5210694482620006
TPRXL,0.520969307206681
C3orf21,0.5116673473564087
KRT31,0.5096113068133
C10orf99,0.5030779092960338
DQX1,0.5003297010263817
ANXA8,0.4994515115167124
KRT14,0.4988444516769832
KRT13,0.49591844324155393
FAM83C,0.4937956431941478
WFDC5,0.49178054202098537
GPC1,0.49153615699036823
C12orf54,0.4898420669280553
HR,0.48845902382480766
COL4A6,0.48746963870397625
BMP7,0.4871777417263895
A2ML1,0.4859376095144422
PKP1,0.4822873375537654
PARD6G,0.4812741982047312
RAET1L,0.4809451983120708
ODZ2,0.4798745468670795
NTRK2,0.47550843298294254
DDAH1,0.4745968202203775
HOXD11,0.47251581222821265
SNAI2,0.4711320828635922
FAM181B,0.46992264013501317
HNF1B,0.46852863338193096
RBM47,0.46838585891390516
KRT16,0.46660811100491456
P2RY1,0.46399057420115514
GBP6,0.4627208747672605
GJB5,0.459423711751651
CAPNS2,0.45818938530501213
MICALL1,0.45582047833728134
TMEM40,0.4533622222031934
DLX5,0.45191662331532495
DENND2C,0.4508126278568037
CELSR2,0.44899573597716674
FAM83B,0.44796587709732577
SLC16A1,0.4478512289049452
SERPINB5,0.4465769645856521
SH3BP1,0.4453926047769785
S100A2,0.44385953450633364
CDHR1,0.4438150463440412
ITGA6,0.4434934560652245
ADAM23,0.4426908638565038
TMEM189,0.4418107565029127
MCC,0.441414504957988
SLC6A8,0.43989756595796126
ZNF488,0.43848764500932386
SPRR2A,0.4370325225630764
RGL3,0.4370088162347622
AP2M1,0.43666333304192445
KCNG1,0.43489379960630636
GABRQ,0.43351576790019125
ARHGEF38,0.43348381721594903
TBCCD1,0.4316444890488242
PNCK,0.43100679296794864
ADH7,0.4305610844343869
TMPRSS11A,0.43041763697114377
COL7A1,0.43029817017394445
USP31,0.423699004835982
CGN,0.42358301247189595
SERPINB2,0.42345932303984846
STARD5,0.4231786830924218
LONRF3,0.42140324512489885
RORC,0.42068866253167064
SLC39A2,0.42032680982386367
C17orf28,0.41977635570486077
ARRB1,0.41925462803304
ABCC5,0.4173746954728428
ACSL5,0.4163562958349362
PTPRZ1,0.4151587144138125
CLDN3,0.41335737269609046
TMPRSS11F,0.4131763521086741
USH1G,0.41294354009092
MAPKBP1,0.41278349655590624
ANXA8L2,0.412698659225922
BCL2L15,0.4117908446335937
EPHA10,0.41071612365883337
LOC100130933,0.41064679229988077
SOX15,0.41047337123974775
GABRA3,0.40984618959210245
BICD2,0.40938007678289323
TMPRSS11D,0.4070094838268079
NMNAT3,0.40431683941018803
RHCG,0.4026714399387225
CLCA4,0.40221708628411923
EFNB1,0.4015436841479476
PTHLH,0.4009361554663311
SIAH2,0.4007960562869663
DLG1,0.40078020326179803
COL4A5,0.40050642676218373
ICA1,0.40028032609821546
ATP11A,0.4000967508223464
NKX2-1,0.3998947302694934
KCTD15,0.3998537083876612
PLAC2,0.39978460073327915
GPR39,0.3996104963906223
KCNQ3,0.3992990360881281
TMEM117,0.3992886345812814
