ABCC5,PDCD10,MED12L,AP2M1,COL7A1,RNF168,DLG1,DVL3,FBXO45,SENP5,PLCH1,ATP11B,ACAP2,WDR53,KPNA4,OPA1,P2RY1,PAK2,ZNF639,PCYT1A,RSRC1,PIK3CA,PLD1,DCUN1D1,PIGX,TBCCD1,ABCF3,LSG1,PARL,MFN1,YEATS2,MYNN,PSMD2,RFC2,SEMA3F,TRA2B,SIAH2,SOX2,TFR2,LRRC31,FXR1,FYTTD1,ACTL6A,TP63,GMPS,UCN2,CLDN1
0.043164037,0.0,-0.12002608,0.0,0.2678657,-0.0013987052,0.0,0.0,0.0,0.0,0.0032519526,0.016969476,0.029726164,0.0,0.0,0.0,0.0,0.0,-0.6361383,-0.0019627723,0.12651639,0.0,-0.21162122,0.0,0.0,0.0,0.0,0.0,-0.22927096,0.0,0.0,0.0941796,0.0,0.0,-0.38237336,0.0,0.0,0.16203722,1.0723515,0.0,0.0,0.0,0.0,0.03124438,0.01019953,0.0,0.0
0.021784125,0.0,0.11936086,0.0,-0.09318898,-0.021098802,0.0,0.0,0.0,0.0,-0.010240549,0.3535689,-0.11138262,0.0,0.0,0.0,0.0,0.0,0.73415446,0.005844919,-0.15263705,0.0,0.09496988,0.0,0.0,0.0,0.0,0.0,0.28029314,0.0,0.0,-0.024106793,0.0,0.0,-0.19205613,0.0,0.0,0.08978817,-0.32757306,0.0,0.0,0.0,0.0,0.028202757,-0.036613572,0.0,0.0
0.0614945,0.0,-0.046027143,0.0,-0.1265899,-0.013044743,0.0,0.0,0.0,0.0,0.005224381,0.18935622,-0.09930783,0.0,0.0,0.0,0.0,0.0,0.22708273,-0.0027303416,0.043090306,0.0,0.066774234,0.0,0.0,0.0,0.0,0.0,0.076428674,0.0,0.0,0.15160836,0.0,0.0,0.7811624,0.0,0.0,0.09597044,-0.26352587,0.0,0.0,0.0,0.0,0.02944349,0.0017705805,0.0,0.0
0.23818457,0.0,-0.059473474,0.0,0.04755953,-0.0013987052,0.0,0.0,0.0,0.0,0.0032519526,-0.028335487,0.0184865,0.0,0.0,0.0,0.0,0.0,-0.30711603,-0.0010531325,0.0862583,0.0,-0.19707544,0.0,0.0,0.0,0.0,0.0,-0.13380754,0.0,0.0,0.07174032,0.0,0.0,1.3470329,0.0,0.0,0.121799916,0.72386235,0.0,0.0,0.0,0.0,0.033101693,0.0037213648,0.0,0.0
0.021784125,0.0,0.14210558,0.0,0.0124160405,-0.009693322,0.0,0.0,0.0,0.0,-0.0063747573,0.3346747,-0.11138262,0.0,0.0,0.0,0.0,0.0,0.6547663,0.0024425345,-0.12757869,0.0,0.06834432,0.0,0.0,0.0,0.0,0.0,0.350499,0.0,0.0,-0.024106793,0.0,0.0,-0.14314297,0.0,0.0,0.117108196,1.2759808,0.0,0.0,0.0,0.0,0.036842447,-0.036613572,0.0,0.0
0.23818457,0.0,-0.059473474,0.0,0.04755953,-0.0013987052,0.0,0.0,0.0,0.0,0.0032519526,-0.028335487,0.0184865,0.0,0.0,0.0,0.0,0.0,-0.30711603,-0.0010531325,0.0862583,0.0,-0.19707544,0.0,0.0,0.0,0.0,0.0,-0.13380754,0.0,0.0,0.07174032,0.0,0.0,1.3470329,0.0,0.0,0.121799916,0.72386235,0.0,0.0,0.0,0.0,0.033101693,0.0037213648,0.0,0.0
0.021784125,0.0,0.23364738,0.0,-0.0827412,0.18933688,0.0,0.0,0.0,0.0,-0.010240549,0.3535689,-0.11138262,0.0,0.0,0.0,0.0,0.0,0.7766978,0.005844919,-0.15263705,0.0,0.091228314,0.0,0.0,0.0,0.0,0.0,0.351887,0.0,0.0,-0.024106793,0.0,0.0,-0.19205613,0.0,0.0,0.10103588,-0.30574057,0.0,0.0,0.0,0.0,0.028202757,-0.036613572,0.0,0.0
0.021784125,0.0,0.11936086,0.0,-0.09318898,-0.021098802,0.0,0.0,0.0,0.0,-0.010240549,0.3535689,-0.11138262,0.0,0.0,0.0,0.0,0.0,0.73415446,0.005844919,-0.15263705,0.0,0.09496988,0.0,0.0,0.0,0.0,0.0,0.28029314,0.0,0.0,-0.024106793,0.0,0.0,-0.19205613,0.0,0.0,0.08978817,-0.32757306,0.0,0.0,0.0,0.0,0.028202757,-0.036613572,0.0,0.0
0.043164037,0.0,-0.12002608,0.0,0.2678657,-0.0013987052,0.0,0.0,0.0,0.0,0.0032519526,0.016969476,0.029726164,0.0,0.0,0.0,0.0,0.0,-0.6361383,-0.0019627723,0.12651639,0.0,-0.21162122,0.0,0.0,0.0,0.0,0.0,-0.22927096,0.0,0.0,0.0941796,0.0,0.0,-0.38237336,0.0,0.0,0.16203722,1.0723515,0.0,0.0,0.0,0.0,0.03124438,0.01019953,0.0,0.0
-0.16258042,0.0,-0.08546474,0.0,0.08510943,-0.0009997635,0.0,0.0,0.0,0.0,0.0028717455,-1.144583,0.023622205,0.0,0.0,0.0,0.0,0.0,-0.89330405,-0.0011011602,-0.19318564,0.0,-0.21162122,0.0,0.0,0.0,0.0,0.0,-0.09584176,0.0,0.0,0.07558262,0.0,0.0,-0.2945038,0.0,0.0,-1.2208076,0.5539881,0.0,0.0,0.0,0.0,-0.5454976,0.003926486,0.0,0.0
