ABCC5,PDCD10,MED12L,AP2M1,COL7A1,RNF168,DLG1,DVL3,FBXO45,SENP5,PLCH1,ATP11B,ACAP2,WDR53,KPNA4,OPA1,P2RY1,PAK2,ZNF639,PCYT1A,RSRC1,PIK3CA,PLD1,DCUN1D1,PIGX,TBCCD1,ABCF3,LSG1,PARL,MFN1,YEATS2,MYNN,PSMD2,RFC2,SEMA3F,TRA2B,SIAH2,SOX2,TFR2,LRRC31,FXR1,FYTTD1,ACTL6A,TP63,GMPS,UCN2,CLDN1
-0.64460546,-0.09327916,-0.024552133,0.008440723,0.19685178,0.10722096,0.11677682,-0.009402799,-0.12092683,-0.08968529,0.115495265,-0.16601354,-0.17318317,-0.09542475,-0.08185081,0.0,-0.25267208,0.035135508,0.21210633,0.23315284,-0.042915296,-0.04484785,-0.017279468,0.0,0.03422629,0.36658102,0.044638094,-0.0015051451,-0.0536565,0.075588726,0.021317935,0.0,0.29546043,0.083710596,0.14321534,-0.4275673,0.5220836,-0.05179472,-0.16105244,0.17260809,0.0,-0.08275791,0.3543952,-0.89397115,0.22837833,-0.7599066,-0.18555588
0.30262735,0.03389545,0.18145324,-0.029245093,0.6002843,0.15227488,-0.035208736,0.02667778,-0.07069542,-0.007814291,-0.21772914,-0.18114021,0.08770238,-0.07802807,-0.08562813,0.0,0.13601224,0.04432209,-0.3304069,0.38658267,0.035911907,0.07516287,0.100218,0.0,0.12148233,-0.25364566,-0.14247386,0.021264518,-0.038091116,0.018392753,0.013131788,0.0,0.24546699,0.041622132,0.46367627,-0.40897006,0.8771041,0.438264,0.13694291,0.28904116,0.0,0.03384668,0.011503463,1.748336,-0.003729296,0.17414877,-0.33165142
0.31081557,-0.049608503,0.1822631,-0.012029211,0.73264885,0.1353598,-0.014929218,0.015101626,0.30652505,-0.0439756,0.020223547,-0.17907754,0.07485741,0.10118407,0.039864417,0.0,0.113946095,0.008081227,0.24439591,-0.12724032,-0.0021731947,-0.08506632,0.07575914,0.0,-0.13143337,-0.14730887,0.25239846,-0.015777113,-0.054709066,-0.045441844,-0.07866608,0.0,0.002529778,0.083710596,-0.50780535,-0.53183097,0.93620366,-0.08111988,-0.18445359,0.41309738,0.0,-0.047234524,0.058924906,1.5978998,0.1752328,0.19588113,-0.25486097
0.35975507,-0.0031317777,-0.19115701,-0.017734405,0.09754297,0.16999911,0.15308398,0.024278274,-0.091142215,0.01976798,0.023391511,0.3981018,0.2237022,0.17445312,-0.023298465,0.0,0.12040064,-0.0060030683,0.23291181,-0.3142945,-0.014228753,-0.07069876,-0.0057691345,0.0,0.13837706,-0.08369202,0.25123477,-0.068150714,0.10102053,-0.045441844,-0.09598353,0.0,0.060565174,-0.016569523,0.44421777,-0.15862414,0.94941837,0.28774655,-0.1296395,0.36376774,0.0,-0.014099193,0.052548017,1.4580939,-0.028063934,0.12225687,0.15650527
-0.16452706,0.0436127,-0.15920468,0.0073824604,0.20848805,0.09438162,-0.006877029,-0.0237802,-0.064351745,-0.013485802,0.13603558,0.46571955,0.082207836,-0.093041025,-0.07537113,0.0,0.16175422,-0.040052768,-0.4873222,0.15079236,0.04662189,-0.068638854,0.019268898,0.0,0.10024425,0.261107,-0.12841076,-0.0015051451,-0.053230107,0.11472281,0.11658862,0.0,-0.18877445,0.009646438,0.33917728,-0.40516242,0.47838503,-0.26625237,0.013022418,0.15239555,0.0,0.13742325,-0.0015075391,-3.5805097,0.10400615,-0.11202648,0.06521043
-0.25183827,0.03972125,-0.10501309,0.0073824604,0.5886361,0.10300211,-0.01730728,-0.017693855,-0.064351745,-0.020020863,0.40710175,-0.026832115,-0.14747974,-0.032469172,0.11438691,0.0,0.14492904,0.04432209,-0.3056296,-0.2050906,0.057517976,-0.053627297,-0.043044295,0.0,0.076397866,-0.23355919,-0.039303605,0.0069925487,-0.038091116,0.097778164,0.11658862,0.0,-0.16606106,0.030812621,0.2733135,-0.69325167,-0.09589148,0.4348614,-0.38477898,0.3022097,0.0,-0.03114454,-0.030763509,1.9538666,0.10576756,0.13692135,-0.22095968
-0.1727108,0.063018695,0.052075658,0.010235341,0.53863174,0.08958261,-0.025062514,-0.017693855,-0.064351745,0.032150492,-0.21364135,-0.17806393,-0.15979603,-0.095924065,0.11438691,0.0,-0.1188408,0.04432209,-0.37519306,0.3222752,0.07374704,0.07516287,0.022986997,0.0,0.076397866,-0.15534568,-0.06922932,0.021264518,-0.026402941,0.018392753,0.11658862,0.0,-0.1685379,-0.013551201,0.40231535,0.4228365,0.8089597,0.6187655,0.024858993,0.17008343,0.0,-0.051886227,-0.03425813,2.1555347,0.109729245,0.15608747,-0.25630897
0.4774336,-0.039588068,-0.1764185,0.0034351815,0.28162637,0.09552619,0.079039134,-0.0237802,-0.058577273,0.05118387,0.04404027,0.44830185,0.1576924,0.17445312,-0.027288502,0.0,-0.24983399,-0.026515473,0.21619926,0.19210207,-0.033412423,-0.0691862,0.09481312,0.0,-0.13537553,-0.15435815,-0.0753353,-0.0051405644,-0.06383029,-0.09222265,0.013022777,0.0,-0.07760642,-0.033590205,0.50642586,1.0041065,0.80808663,0.02630363,-0.11256266,0.388193,0.0,-0.036023628,-0.015219081,0.86351323,0.013601013,-0.060462732,0.24609981
-0.1588451,-0.056438845,0.19099306,0.004210043,0.73203564,-0.41675925,0.09195692,0.015101626,0.22661573,-0.034043893,-0.09443055,-0.181732,0.08352031,-0.032602232,-0.07138109,0.0,0.07879087,-0.0851891,0.21458924,-0.34380323,0.014023365,-0.08155054,0.045417253,0.0,-0.11708618,-0.22964567,0.021483459,-0.009857627,-0.054709066,0.0073818704,-0.07866608,0.0,0.014965978,0.041622132,0.3719452,-0.64833415,0.9695487,0.094913825,-0.09318757,0.42792296,0.0,-0.025486125,0.08631127,1.8090031,0.049342867,0.19262777,-0.14295922
0.7216494,-0.13475032,0.015646366,0.008440723,0.04336146,0.15806113,0.01329133,0.18237934,-0.09513654,0.0030583178,0.049117662,-0.09338648,0.25797763,-0.07802807,-0.08185081,0.0,0.19903924,-0.026515473,0.2914697,-0.12798382,0.02503323,-0.10117398,-0.00036425656,0.0,0.12683071,-0.27775884,-0.13520487,0.001455728,-0.06383029,-0.04783723,0.13373512,0.0,-0.07424068,0.083710596,0.5596455,-0.71698153,0.6578204,-0.13575819,-0.2106819,0.3838964,0.0,-0.009143492,-0.0032234392,-0.36124468,0.34161848,0.02906913,0.19560666
