ABCC5,PDCD10,MED12L,AP2M1,COL7A1,RNF168,DLG1,DVL3,FBXO45,SENP5,PLCH1,ATP11B,ACAP2,WDR53,KPNA4,OPA1,P2RY1,PAK2,ZNF639,PCYT1A,RSRC1,PIK3CA,PLD1,DCUN1D1,PIGX,TBCCD1,ABCF3,LSG1,PARL,MFN1,YEATS2,MYNN,PSMD2,RFC2,SEMA3F,TRA2B,SIAH2,SOX2,TFR2,LRRC31,FXR1,FYTTD1,ACTL6A,TP63,GMPS,UCN2,CLDN1
0.2456694,-0.19145398,0.24992827,-0.22388697,0.9236391,-0.18236314,-0.007092915,-0.10959812,-0.0063680224,0.11678339,-0.022295477,-0.025814796,-0.09581395,-0.022711335,-0.017336948,-0.064112216,0.52227193,0.061442897,0.07897316,-0.36688814,-0.18284905,-0.13705015,-0.010695527,0.12611139,0.02969983,-0.17855565,-0.09015755,-0.026477693,0.16359948,-0.10249247,-0.3872241,0.096619315,-0.034574766,-0.0044485806,0.3589381,1.1487521,0.63461727,0.39876696,0.119449295,0.2043154,0.15138677,-0.024688521,0.031115523,0.34921366,0.14808254,0.022244716,-0.2790505
0.21131933,-0.10546123,-0.069290884,-0.118903585,0.49378455,-0.2235983,-0.06026326,-0.10533448,0.21900864,0.115709126,0.79381096,-0.030078888,-0.12593237,0.35690585,-0.04876386,-0.029758165,0.6379603,0.27598757,0.005974189,-0.3525367,-0.1264048,-0.32060567,-0.26542875,-0.43616182,0.014874526,0.20426469,-0.04357679,-0.04965477,0.18865874,0.022177044,-0.2771733,-0.19908997,-0.061693706,-0.024203878,0.111559905,-0.8160699,-2.836414,-0.17670594,0.011893971,0.0069488846,0.04101228,0.040585093,0.09662757,0.7062634,0.18274815,0.02727543,-0.19365014
0.28870207,0.043146968,0.17583753,0.024324773,0.051336683,0.003924043,0.0399443,-0.012880466,-0.0035194866,0.044103477,-0.04634372,-0.004192292,-0.012685919,-0.015887693,-0.03268058,-0.053992335,-0.019094542,0.12020923,0.30156383,-0.021032797,-0.33552125,0.015509802,0.20826665,0.05418669,0.015327013,-0.001036621,0.0033921094,-0.043136045,0.4377557,0.014901688,-0.055201136,0.02209762,0.011788278,-0.34514934,-0.2585421,-0.10279607,0.40553358,0.062046558,-0.40110916,0.068618014,0.3890321,0.019191023,0.09690031,0.22851509,-0.37869522,-0.13681448,-0.16727763
-0.20719035,0.03066738,0.028695952,0.025682108,0.019650016,0.045737334,-0.054622393,0.06413439,-0.009597583,-0.12078556,-0.06829636,-0.012187269,0.013587024,-0.014629605,-0.12668632,-0.0044254404,-0.0055548544,-0.05695441,-0.33667102,0.12507032,-1.1006676,0.09914083,0.13422395,0.07088471,-0.024692163,0.030745031,0.0022636596,0.0010706246,-0.7505566,-0.029539803,0.047250625,0.008351577,-0.0035446428,0.7691858,-0.28018323,-0.15257478,0.44308013,0.050056208,0.59813315,0.090313524,-0.4896212,-0.02933859,-0.057885632,-0.6052039,-0.5275165,-0.13806161,0.14742847
-0.05579933,-0.074714154,-0.16609502,0.02633935,0.052164618,0.023332283,-0.04925646,0.03270569,-0.009184809,-0.14271408,-0.052783147,-0.006973448,0.0701078,-0.01629308,0.043794703,0.05457728,-0.00830947,-0.07622948,-0.28288522,0.14405654,0.14972474,0.09630254,-0.11283958,0.058388393,-0.021879556,0.053335547,0.0022636596,0.058738172,-0.41087317,-0.030705739,0.059007913,0.08193843,-0.0060340245,0.24855565,-0.432532,-0.14499725,-0.06730186,0.062060174,0.37066972,0.19653054,-0.451277,-0.0119735515,-0.037491523,-0.33036458,0.20218402,-0.17436244,0.2662897
0.28870207,0.043146968,0.17583753,0.024324773,0.051336683,0.003924043,0.0399443,-0.012880466,-0.0035194866,0.044103477,-0.04634372,-0.004192292,-0.012685919,-0.015887693,-0.03268058,-0.053992335,-0.019094542,0.12020923,0.30156383,-0.021032797,-0.33552125,0.015509802,0.20826665,0.05418669,0.015327013,-0.001036621,0.0033921094,-0.043136045,0.4377557,0.014901688,-0.055201136,0.02209762,0.011788278,-0.34514934,-0.2585421,-0.10279607,0.40553358,0.062046558,-0.40110916,0.068618014,0.3890321,0.019191023,0.09690031,0.22851509,-0.37869522,-0.13681448,-0.16727763
0.29653355,0.26143035,0.26293415,0.02595459,-0.17809281,-0.008874517,0.001943719,0.038347736,-0.0024365527,0.020256998,-0.015752694,-0.003936042,0.004422921,-0.012972923,-0.03268058,-0.043939646,-0.010156583,0.09641298,0.27127743,-0.017414525,-0.32840228,-0.0054991166,0.37775162,0.05806975,0.016701888,-0.001036621,0.003492911,-0.020117003,0.3985055,0.2393565,-0.051038656,0.04436748,0.0142246075,-0.30228105,0.6176019,-0.07204411,0.6502742,0.06819419,-0.2594022,0.06211101,0.40865824,-0.003909995,0.08760798,0.061625298,-0.30241835,0.59223795,-0.1551909
-1.3938518,-0.057324458,-0.1292592,-0.03242296,-0.006899396,0.029708764,-0.051409516,0.016661357,-0.00051244535,-0.018389676,0.16964073,-0.008717134,-0.06538527,-0.010049137,0.028430844,-0.0073265,-0.09575115,-0.07544234,-0.22759649,0.08807765,0.07359364,0.10602567,0.25335625,0.059535716,-0.006687329,0.17646155,0.001695829,0.036124405,-0.33025265,-0.11189408,0.05116978,0.0824458,0.008429405,0.08750686,0.8123862,-0.38767582,-0.0743733,0.028418574,-0.4033924,-2.582154,-0.16163146,-0.006341672,-0.019138273,-0.2758638,0.25248554,-0.06218733,-0.25610462
0.3760217,0.045920644,0.12735245,0.027036037,0.12000559,0.009826593,0.06278887,-0.012772864,-0.0009067288,0.018474046,-0.030498905,-0.00518068,0.0671726,-0.010393837,-0.030447984,-0.014696557,-0.009716846,0.18927065,0.3539134,-0.007918397,-0.31414586,0.015509802,0.23682788,0.066939026,0.015246934,0.00089903775,0.0033921094,-0.040910635,0.36288917,0.014901688,-0.05244424,0.034254,0.017871954,0.7740557,-0.17586906,-0.06518624,0.4269175,0.10457271,0.9467411,0.081722535,0.30243078,0.020529712,0.093438745,0.48378393,-0.30486894,-0.09612185,-0.15864895
0.36622548,-0.31094673,0.29532817,-0.15411866,0.7865182,0.0011361038,-0.074668586,-0.06136974,-0.0024365527,-0.014170113,-0.06514923,-6.632298e-05,0.0075057414,-0.017091941,0.0028223454,-0.05662198,0.35416818,0.048052266,0.1818187,0.18326321,-0.23685622,0.17508203,0.015545701,0.1710438,0.01830652,-0.10144346,-0.11705498,-0.06624405,0.19311745,-0.06728621,-0.07447008,-0.41787437,0.09968667,0.21038051,0.22905204,-0.6037451,0.6973232,0.39188832,0.3813772,-0.34712783,0.17741303,-0.012863092,0.16472055,1.7122859,0.47460872,0.15415992,-0.28081217
0.21392414,-0.085945025,0.07477981,0.025360381,-0.10619325,-0.15770137,0.2258774,-0.15701714,-0.0012763273,0.033618618,0.064394,0.119437546,-0.0014123784,-0.011149846,0.0427012,0.006164823,-5.4913846e-05,0.07176368,0.29863712,0.25600454,-0.37213328,-0.14144187,-0.1369102,0.1347803,0.009173758,0.16622804,-0.06738864,0.066549316,-0.098232456,0.005385653,-0.07621393,-0.35620424,0.019986233,0.38209018,0.23252963,-0.36487404,0.6630478,0.45480695,-0.3054814,-0.36926258,0.18508671,-0.029840644,-0.04296991,-0.4325338,-0.13587151,0.15047668,-0.12780075
0.28870207,0.043146968,0.17583753,0.024324773,0.051336683,0.003924043,0.0399443,-0.012880466,-0.0035194866,0.044103477,-0.04634372,-0.004192292,-0.012685919,-0.015887693,-0.03268058,-0.053992335,-0.019094542,0.12020923,0.30156383,-0.021032797,-0.33552125,0.015509802,0.20826665,0.05418669,0.015327013,-0.001036621,0.0033921094,-0.043136045,0.4377557,0.014901688,-0.055201136,0.02209762,0.011788278,-0.34514934,-0.2585421,-0.10279607,0.40553358,0.062046558,-0.40110916,0.068618014,0.3890321,0.019191023,0.09690031,0.22851509,-0.37869522,-0.13681448,-0.16727763
