ABCC5,PDCD10,MED12L,AP2M1,COL7A1,RNF168,DLG1,DVL3,FBXO45,SENP5,PLCH1,ATP11B,ACAP2,WDR53,KPNA4,OPA1,P2RY1,PAK2,ZNF639,PCYT1A,RSRC1,PIK3CA,PLD1,DCUN1D1,PIGX,TBCCD1,ABCF3,LSG1,PARL,MFN1,YEATS2,MYNN,PSMD2,RFC2,SEMA3F,TRA2B,SIAH2,SOX2,TFR2,LRRC31,FXR1,FYTTD1,ACTL6A,TP63,GMPS,UCN2,CLDN1
-0.13140689,0.016350022,0.17673089,-0.028477242,0.15583453,-0.039274663,0.12957576,0.035572827,0.012301431,0.059003472,-0.10484453,-0.0012341489,-0.11478314,-0.06912543,-0.040038783,0.22500841,-0.008414115,-0.02869214,-0.023425419,0.014531543,0.13192496,0.02960763,0.018795809,-0.25818172,-0.010685961,0.11134605,0.051217657,-0.025168,-0.64112484,-0.009062103,0.030544855,-0.14913784,0.030242741,0.57776886,0.21371698,-0.13040021,0.26295203,0.08140896,0.19121172,0.26710567,0.033364583,0.30856597,-0.006323465,-0.4229312,-0.1032527,-0.22210291,-0.005371612
0.3445453,-0.20539463,-0.022211645,-0.0049060755,0.45578533,-0.34482583,0.14472145,-0.053137757,-0.0148723945,0.043253258,0.9548035,0.16482368,-0.056085583,0.060105886,-0.30855146,-0.015376478,0.5125504,-0.029888231,0.09823467,-0.11870505,-0.16014214,-0.03420247,0.05928811,-0.10691218,0.15708072,-0.032876004,0.08550135,-0.023238186,0.057289522,0.08775118,-0.19578795,-0.5665668,0.0956739,0.24371737,0.01633611,1.6090684,0.3871761,0.10863373,0.23238486,0.0927753,0.077098444,-0.045456734,-0.0026923579,-0.005641335,0.033418663,-0.25799552,0.13743539
-0.05543349,0.016350022,-0.2247312,-0.003783726,0.3441457,-0.055715084,-0.072665766,0.037510194,-0.017305221,-0.27291942,-0.06894887,-0.005713115,0.19440162,-0.051834673,-0.010793387,0.19646965,-0.13698676,-0.10697329,-0.13331036,0.011932244,0.27069584,-0.001292302,-0.29157054,0.032339618,-0.029969368,0.03714123,0.049656138,0.034580816,-0.28400955,-0.028393023,0.020533126,0.17205471,0.040799174,0.5668429,-0.4105284,-0.17534094,-0.51517576,0.11835599,0.7249298,0.2054219,-0.09166646,-0.090384565,-0.059662886,-0.05169649,0.10692456,0.065942265,0.18953201
-0.7765159,0.014203285,-0.1441179,-0.00113627,0.12261286,-0.010497108,0.01940339,0.025718603,0.021497551,-0.24815632,0.006200109,-0.002529453,0.099327095,-0.025190156,0.6989679,0.08769226,-0.47738236,-0.024029706,-0.20863898,0.012768669,-0.9280059,0.03078647,-0.27386308,-0.28549555,0.0508478,0.02514162,-0.40681538,0.04712763,-0.20737955,0.049692027,0.02156833,0.20147625,0.0227046,0.17303479,-0.44863817,-0.15932372,-0.71931374,-1.2177286,0.41701177,0.12209972,-0.068751045,0.28999203,-0.04371919,-0.60751784,0.07664398,-0.13481535,-0.5733874
0.311546,0.027564703,0.32684454,0.13867345,0.2852854,-0.3745832,-0.07990159,-0.043888934,-0.0035963499,0.038243216,-0.075276524,-0.0033495855,-0.063430876,0.14176804,-0.031836156,-0.0403093,0.7464768,0.026390268,0.19092725,0.0063304715,-0.25320536,0.066751234,-0.061942015,-0.10367932,0.052168388,-0.117806315,0.06845988,0.047711812,-0.11245922,-0.0603953,-0.12693618,-0.2977495,-0.3019695,0.99495655,-0.19818643,-0.7696778,0.4365984,0.20944737,0.33808994,0.1086519,0.081292264,0.006542465,0.15104221,1.9005094,0.24083221,-0.022915758,-0.17057659
0.18244717,-0.12990226,-0.090243,0.124155395,0.16476816,-0.11731641,0.067799404,-0.049295288,0.0057340153,0.04136519,0.2745234,0.13483553,-0.07981578,0.16025229,-0.29971886,-0.022830717,0.6420868,-0.06439171,0.046198007,0.07074607,-0.18608357,-0.2266552,-0.04472107,-0.10332728,0.0519741,-0.16179425,0.026473328,-0.0077188937,0.05918074,0.086046934,-0.109143175,-0.34598577,-0.2820155,-0.2705162,-0.07744208,1.1057494,-0.43844864,0.06487887,0.49459264,-2.4078183,0.063506275,-0.00604363,0.14548111,0.7373217,0.15975763,-0.1523535,-0.059593696
0.47069624,0.03886134,0.06610253,0.004160312,0.33632004,-0.04589529,0.06596529,0.086314626,0.03248303,-0.062845066,-0.04321072,0.08671146,0.24218826,-0.036199957,0.3458822,0.30308393,-0.03558845,-0.11204456,-0.21344113,0.006958185,0.23179972,0.04487679,-0.01190069,-0.13678665,0.072992265,0.06687465,0.03678204,-0.039032597,-0.3172883,-0.025930975,0.046058096,0.23922843,0.04860584,-0.08176417,-0.06818985,-0.0963364,1.2925775,0.3095812,0.022581825,0.03336548,-0.037000325,-0.13167407,-0.06451396,1.5677526,0.2677606,-0.01394739,0.03281433
-0.04992856,0.01727376,0.31243572,-0.005305503,0.21295619,0.074163,0.015968041,-0.012038756,0.0010647426,0.014918098,0.49914193,-0.004439693,0.42670062,0.00095456274,-0.0024113995,-0.050139725,-0.24373078,-0.07175848,0.2304936,0.0059273015,-0.3843142,0.068503514,-0.14811881,0.012563615,0.051300332,0.084896505,-0.05004992,-0.03225623,-0.5478592,0.025277838,0.10902401,0.23985702,-0.35482407,0.11285976,0.19133621,-0.08253327,0.8087675,0.2446019,0.10952181,-0.009598975,0.03443452,0.007441602,0.1693032,2.047887,0.43693364,-0.029892817,-0.11671127
0.6353101,0.027564703,0.21223444,-0.02793154,0.27819195,0.09665948,0.009966519,0.1285396,-0.023773562,0.031637356,-0.122477196,-0.06100276,0.27662534,0.0023887162,-0.04320639,-0.054566335,-0.31962523,0.24582478,0.205051,0.014846801,-0.38475135,0.018799532,0.13962129,0.02051962,0.15726165,0.0872429,-0.0033863608,-0.05279605,-0.037686598,0.012426344,-0.15813723,-0.45918098,-0.15234512,0.07881198,0.19831935,-0.44526482,0.7643908,0.28914982,0.28755763,-0.05887813,0.08168541,0.012465304,0.1403946,-0.13262863,0.2833781,-0.05533383,0.0028223528
-0.003982836,0.11588973,0.045934547,-0.0037404604,0.10627131,-0.04069694,0.009283609,-0.018433185,0.035980362,-0.122648604,1.5003091,-0.0029763835,0.3056287,-0.019266702,0.46104094,0.3132943,-0.16363937,-0.05691876,-0.15533176,-0.041007265,0.13999464,0.04800945,-0.3313105,-0.18864371,-0.011849189,0.06985757,-0.03888442,-0.049225163,-0.27789688,-0.023542697,0.037543677,0.22470076,0.029854871,-0.07383909,-0.1740066,-0.14011705,1.1298065,0.043823265,0.2123271,-3.110763,-0.026139908,0.31653646,-0.05283226,-0.44759193,0.23774579,-0.08477519,-0.052035756
