ABCC5,PDCD10,MED12L,AP2M1,COL7A1,RNF168,DLG1,DVL3,FBXO45,SENP5,PLCH1,ATP11B,ACAP2,WDR53,KPNA4,OPA1,P2RY1,PAK2,ZNF639,PCYT1A,RSRC1,PIK3CA,PLD1,DCUN1D1,PIGX,TBCCD1,ABCF3,LSG1,PARL,MFN1,YEATS2,MYNN,PSMD2,RFC2,SEMA3F,TRA2B,SIAH2,SOX2,TFR2,LRRC31,FXR1,FYTTD1,ACTL6A,TP63,GMPS,UCN2,CLDN1
0.32479885,0.004779681,0.053650677,-0.0032344998,0.08195362,-0.013918188,-0.06270689,0.014641418,-0.02088532,-0.14960381,-0.0067687533,0.027192002,-0.028933927,-0.03135173,-0.08649624,0.09657146,-0.009613744,-0.14431357,0.33771852,0.08539457,-0.38597158,0.03831927,0.096101455,0.025335656,-0.03662988,0.015646636,0.0044384073,-0.0047422335,0.3407025,0.15422831,0.009458011,-0.021068685,0.013872209,-0.31225282,-0.24781749,-0.13514581,0.43380022,0.05493,0.22967045,0.03252807,0.07190523,-0.041504998,0.050309267,0.5523533,-0.2620246,-0.093362585,0.015391048
0.2860959,0.004779681,0.12710139,-0.0032344998,0.0956477,0.047236692,0.055958055,0.014642386,-0.020832893,0.07066912,-0.0042141597,0.03030923,-0.05390828,-0.03947485,-0.08841737,-0.14443532,-0.012078224,0.095969595,0.4286945,0.009560001,-0.3489851,0.0377071,0.12957868,0.02614002,-0.048542462,-0.01121468,0.005231967,-0.009094386,0.3886796,0.15745941,0.007581009,-0.03785281,0.014717079,-0.34024972,-0.23771071,-0.23087314,0.4325245,0.039964076,-0.30035675,0.048883524,0.04749254,0.041815042,0.050309267,0.38616702,-0.15778027,-0.079527885,-0.045783
-1.7443018,-0.010961948,-0.03620109,-0.01777119,0.45781896,0.04486368,-0.042424474,-0.11498768,-0.005297818,-0.06705151,-0.0100717945,-0.3467972,0.012643322,-0.03341361,0.6822292,0.15073133,-0.012675915,-0.07443757,-0.23093389,0.22326183,0.29378843,0.023626165,0.0068094404,-0.29273355,-0.030213851,0.33196834,0.0019557222,-0.013044227,-0.32442102,-0.103612445,0.03622287,0.055538457,0.009267061,0.2904808,1.4033928,-0.0264721,-0.42627335,-1.7882677,0.3498112,0.23266707,-0.08200582,-0.020515932,-0.058662403,-0.63590634,0.15306485,0.45873058,-0.50589293
-0.1627376,-0.07996772,0.02390084,0.057909846,0.57688487,0.08038901,-0.047806464,-0.13299908,-0.013048946,0.021290205,0.19178514,0.11773616,-0.08732752,-0.052554406,-0.051403083,-0.24644682,0.030236004,0.091621146,0.24806562,-0.25788996,-0.15311329,0.05525326,0.0012975073,-0.16567728,0.11884857,0.02906417,-0.24135551,-0.020789055,0.13090393,0.041281883,-0.121940725,0.09366719,-0.05574886,0.5451578,0.042560562,-0.30856988,-2.1953053,0.15959962,0.317035,-0.08520656,0.031328518,0.01911348,-0.03484043,1.436346,0.1817894,0.05833041,0.24408479
0.3505659,0.0011191986,0.05890877,-0.031974304,0.27576348,0.009100538,0.044752024,0.058400426,-0.01957181,-0.14873081,-0.05014273,0.030931689,0.039772525,-0.014293214,-0.065780364,-0.19071111,-0.008414261,-0.09915263,-0.36157197,0.2387613,-0.52747756,0.055749774,-0.49300385,0.010463357,-0.05302377,0.032485276,-0.07076125,0.0069120885,0.22368261,-0.013351448,-0.008278103,0.018578904,0.010968779,-0.3433939,0.108196475,0.08300511,0.39631382,-0.21583165,0.36246565,-2.636603,0.07488361,0.02088148,-0.21365763,-0.6579559,-0.0771095,-0.1627599,-0.17824617
0.10195066,-0.026210919,-0.19335619,-0.021102596,-1.2511103,-0.024105746,-0.05731585,0.02449077,-0.020103471,-0.06181314,-0.028004838,-0.003260965,0.0581218,-0.065111995,0.005831681,0.32292357,0.026217667,-0.13937253,-0.5739513,0.0675132,0.48326895,0.034913488,-0.31072298,-0.07663807,-0.009056345,0.051397674,0.0047628884,0.011005478,-0.46561822,-0.10501448,-0.009396806,0.046164893,0.008580464,-0.24589506,0.3339243,-0.097505234,-0.25203502,0.017840762,-0.34921968,-0.04037794,-0.112245455,-0.025234237,-0.08950947,-0.1305771,0.14282715,0.07206063,0.38070762
0.26881284,-0.014743377,-0.046905145,-0.019607859,0.53691,0.019716522,-0.06827521,0.054050945,-0.007736801,-0.0630094,-0.020009728,-0.0026771985,0.030241353,-0.048171923,0.044777192,0.14031811,0.028489241,-0.10262714,-0.21777233,0.07633653,0.4355569,0.035025116,-0.16499054,-0.07652181,-0.024445647,0.02505691,0.010134571,0.016298803,-0.39977401,-0.010541707,0.002883697,0.124053985,0.019678883,0.5099573,2.050101,0.010020688,-0.11146345,0.11846375,0.7270463,0.29673445,-0.09809391,-0.051397104,-0.07678457,0.1920933,0.204278,0.035832454,0.15144978
-1.0285397,-0.032833226,0.24792495,-0.003434616,0.46908382,0.106368214,0.005593794,0.068643786,-0.010357289,-0.06569425,0.516001,0.30501166,0.053679474,-0.00424057,0.40272462,-0.24242252,0.08391278,-0.07684536,-0.3794293,-0.14516446,0.26170808,-0.15834211,-0.17322321,0.012097456,-0.043981176,-0.025231173,0.01409388,-0.018042957,-0.30384597,0.18735977,0.004887127,-0.011576476,0.018315146,0.038072202,-0.014670763,-0.4855371,-0.91719264,1.1132268,0.19007242,-0.056187365,0.01676334,0.022292295,-0.059146337,1.8875751,0.052096374,-0.05188159,-0.108545594
-1.7443018,-0.010961948,-0.03620109,-0.01777119,0.45781896,0.04486368,-0.042424474,-0.11498768,-0.005297818,-0.06705151,-0.0100717945,-0.3467972,0.012643322,-0.03341361,0.6822292,0.15073133,-0.012675915,-0.07443757,-0.23093389,0.22326183,0.29378843,0.023626165,0.0068094404,-0.29273355,-0.030213851,0.33196834,0.0019557222,-0.013044227,-0.32442102,-0.103612445,0.03622287,0.055538457,0.009267061,0.2904808,1.4033928,-0.0264721,-0.42627335,-1.7882677,0.3498112,0.23266707,-0.08200582,-0.020515932,-0.058662403,-0.63590634,0.15306485,0.45873058,-0.50589293
-0.05351107,0.0060705044,0.10385995,0.04635945,0.60850626,0.13506763,0.14953403,0.0039761574,0.16538157,0.03237851,-0.024963737,0.017236603,-0.1401654,0.5487924,-0.052844513,-0.14084646,-0.030641047,0.09915051,0.30288216,-0.23988743,-0.19734725,-0.13704029,-0.07736494,-0.05426955,0.33384752,-0.0019104381,-0.101848796,0.18413177,0.1622704,0.07907078,-0.17149375,-0.05336918,-0.028957367,0.08895121,0.39831424,0.22636144,0.47466853,0.8838892,0.18154466,0.18211967,0.04207248,0.017795328,-0.05788306,1.7043723,0.063670546,0.16578037,-0.019416029
