ABCC5,PDCD10,MED12L,AP2M1,COL7A1,RNF168,DLG1,DVL3,FBXO45,SENP5,PLCH1,ATP11B,ACAP2,WDR53,KPNA4,OPA1,P2RY1,PAK2,ZNF639,PCYT1A,RSRC1,PIK3CA,PLD1,DCUN1D1,PIGX,TBCCD1,ABCF3,LSG1,PARL,MFN1,YEATS2,MYNN,PSMD2,RFC2,SEMA3F,TRA2B,SIAH2,SOX2,TFR2,LRRC31,FXR1,FYTTD1,ACTL6A,TP63,GMPS,UCN2,CLDN1
0.015927147,0.039431933,-0.040941577,0.019145519,0.28007993,-0.21290849,-0.043057326,-0.014131205,-0.04510009,-0.015150581,0.24766633,-0.010549221,0.0125998715,-0.011151381,0.13661832,0.16722654,0.20240632,-0.0038340907,-0.11177394,-0.121222965,-0.19884986,0.007533957,-0.12798615,0.016971756,-0.0016989501,0.12558779,0.0040418436,-0.043374076,-0.44281363,-0.0015263088,0.011773315,0.026545689,-0.0022248628,0.006539828,-0.12344282,-0.08188557,0.88087624,0.14490749,0.20609054,-0.31062585,-0.52933145,0.0057963533,-0.08348579,2.8765273,0.39697683,0.04843022,-0.57372105
0.42354637,-0.00035918804,0.20138362,-0.0057389047,-0.2581687,0.19020116,-0.045448974,-0.0065480336,-0.056017548,-0.01472378,1.1070399,-0.02576838,-0.007867351,-0.01046853,-0.028843265,0.2891755,-0.02166575,-0.00049681234,-0.026198676,-0.23062684,0.21084394,-0.017306069,-0.2334354,0.030078048,-0.013534859,0.14623187,0.011012208,-0.10873571,-0.42100888,0.015221016,0.011744403,0.08560325,0.0691122,0.17652617,0.8065255,-0.11130689,0.6738013,-0.3039175,0.33729932,0.2354864,0.040067278,-0.0029322766,-0.06219703,-0.23326144,-0.2965088,0.059048895,-0.0090647
0.44048372,-9.224584e-05,-0.077281214,0.023167288,-0.23433377,0.023637338,0.2341648,0.13908911,-0.010889837,0.25586498,0.027913047,0.41885376,-0.041449316,0.056018308,-0.0986073,-0.141999,0.15883753,0.06562141,0.044421952,-0.146756,-0.10836949,0.0044572684,-0.19516137,-0.4170885,0.037966806,0.00668626,-0.089025274,-0.028612806,0.08175398,0.09977355,-0.33370426,-0.24946089,-0.16326617,-0.03897355,-0.13967916,-0.82318056,-0.91327566,-0.24121179,0.11693677,0.20830478,0.19269556,0.002430655,0.023947328,-2.3965833,0.1726183,-0.048523385,-0.59290975
0.022384727,-0.002457924,-0.23501046,-0.006580213,0.13027503,-0.3413881,-0.08388809,-0.0136239035,-0.060353205,-0.010397733,0.046220586,-0.0068835774,0.09857148,-0.014139292,0.13069303,0.3028908,-0.044481363,-0.039278597,-0.13443422,-0.010162031,0.29489556,0.0024711906,-0.26403546,0.01684474,-0.014680974,0.10573258,0.005349252,-0.022149976,-0.44817337,-0.011843904,0.0045646485,0.10505972,-0.020942768,0.4365716,-0.42019224,-0.06171014,-0.21570244,0.15197657,-0.3173247,0.09251979,-0.41152278,-0.0070671607,-0.1003442,-0.07808512,0.3648674,0.06189493,0.3742609
-0.5414167,-0.004549037,-0.19201183,-0.0061923503,0.09435721,-0.30653706,-0.038474113,-0.014022518,-0.06386061,-0.009562793,-0.04087807,-0.010006812,0.015752874,-0.013208831,0.061818667,0.115871325,-0.054352712,-0.03792791,-0.14136663,-0.009660111,-0.8825302,0.0022965388,-0.20324914,0.014132645,-0.012043055,0.08183805,0.0030532936,-0.026007824,-0.3955552,-0.035256308,0.0008226161,0.09504335,0.009788553,0.113079205,-0.3401378,-0.07226902,-0.27693817,-1.6274492,0.47133628,0.08304739,-1.0729342,-0.017983338,-0.07353581,-0.6041841,0.23887654,-0.044646267,0.20006226
0.11978748,0.10562818,-0.05693956,0.03950239,0.8682067,0.12969276,-0.015811259,0.38806266,0.36605948,0.26683816,-0.09450303,0.07925391,0.07601965,0.049156923,0.024807896,0.0027104926,-0.041448206,0.10584022,0.0775033,0.032000013,-0.16145489,-0.013133287,-0.47118223,-0.22510126,0.25301492,0.3153903,-0.09763858,0.022153918,0.36147952,0.18743405,-0.21051683,-0.31369254,-0.10364069,0.26656732,0.15883793,-0.2696457,0.13612492,0.13855658,0.21927446,0.17584033,0.26785204,0.0019690269,0.012207815,1.1232063,0.5063225,-0.0059082313,-0.194269
0.17770325,-0.001673254,0.27146342,0.0028426193,-0.03874911,0.20742877,0.050089482,-0.0052044876,-0.0024612446,-0.012027534,-0.16307442,-0.029195085,0.03861596,0.06681291,-0.052499775,-0.1504234,-0.0430325,-0.0054808883,0.042075187,0.0161873,-0.28569075,0.013306571,0.08045885,0.04604732,0.0015143724,0.030367693,0.012279503,0.030711748,0.17486414,0.08032225,0.020229457,0.010460122,-0.0004314195,-0.1614216,-0.21034954,-0.22033182,0.41892907,0.07099104,-0.385656,0.09871409,0.46153212,0.008478104,0.048230134,0.55630904,-0.3491193,0.0066453945,-0.10790971
0.23322375,-0.001673254,0.25306466,0.0028426193,0.031416696,0.23694225,0.15764682,0.0009542723,0.0072878376,-0.012313125,-0.13642728,-0.025889473,0.106311575,0.06681291,-0.028114362,-0.109643854,-0.031841643,0.00011124773,0.043026015,0.02454678,-0.24514048,0.013306571,0.06677509,0.040323555,0.0015143724,0.033570122,0.012279503,0.13073882,0.17952792,0.07721757,0.020469544,0.00802617,0.0058930796,0.32412058,-0.19483192,-0.11991789,0.43661818,0.08627988,1.2010831,0.10678825,0.5250094,0.008478104,0.046880644,0.5613096,-0.29168645,0.011806128,-0.060122
-0.3197138,0.05813719,-0.30134353,0.003258872,-0.6800159,0.15857619,0.06972046,-0.009180414,-0.008624113,-0.011247966,0.062095243,-0.0035650902,0.013618795,0.12191174,0.070804305,0.19880956,-0.04531692,0.017932473,0.030276094,0.030058043,0.18369554,0.014459663,0.1280687,0.02189677,-0.0028337399,0.028440641,0.0045579397,-0.016413707,-0.366715,0.2563948,0.019780068,0.30403164,0.002163821,-0.060180195,0.083575346,-0.35344866,-0.5827785,0.08831245,-0.31502986,0.17378986,0.47788015,0.005666428,0.044395376,0.48691955,0.2919197,-0.2661509,-0.31074867
0.007245555,-0.004840684,0.08499203,-0.0048228926,-0.94230807,0.1845431,-0.083242185,-0.0063193995,-0.076575406,-0.012653473,0.33713004,-0.008028949,0.07747894,-0.01154851,0.053450055,0.14387284,-0.030164016,0.0006491674,-0.16834232,0.010785343,-0.22106071,0.03119191,-0.011187851,0.01923546,-0.012343369,0.08236801,0.0049306946,-0.026070781,-0.660415,-0.06950531,0.008600287,0.11715313,0.04779406,0.031586614,0.5402684,-0.88217425,-0.42690834,-0.17951094,0.22929883,-0.073643304,-0.050981082,-0.004692557,-0.056106202,-2.546069,0.48820585,-0.2345108,-0.18304288
