Acc_RNA_XGB,Acc_CNV_XGB,Acc_Fusion_XGB
0.953441296,0.900809717,0.957489879
0.953441296,0.88562753,0.955465587
0.955465587,0.893724696,0.95951417
0.956477733,0.890688259,0.95951417
0.955465587,0.893556005,0.958164642
