Acc_RNA_MLP,Acc_CNV_MLP,Acc_Fusion_MLP
0.775303644,0.899797571,0.901821862
0.861336032,0.900809717,0.928137652
0.856275304,0.910931174,0.931174089
0.692307692,0.9048583,0.913967611
0.817813765,0.907894737,0.923076923
