Acc_RNA_SVC,Acc_CNV_SVC,Acc_Fusion_SVC
0.951417004,0.91902834,0.953441296
0.951417004,0.921052632,0.95242915
0.951417004,0.923076923,0.95242915
0.95242915,0.922064777,0.953441296
0.950404858,0.918016194,0.951417004
