Acc_RNA_TabNet,Acc_CNV_TabNet,Acc_Fusion_TabNet
0.644475209,0.846187766,0.859311741
0.719484182,0.842029431,0.852226721
0.680079988,0.823878378,0.844129555
0.705204328,0.816853817,0.831983806
0.743952212,0.82998513,0.856275304
